Age_yrs,Education_level,Income_level,Gender,Random_twin_split,P-SDQ_Emo,P-SDQ_Conduct,P-SDQ_Hyper,P-SDQ_Peer,P-SDQ_Procosial,P-SDQ_Total_Problems,P-EATQ_Aggression,C-EATQ_Aggression,C_IBSbully,C_IBSvictim,C_IBSfight,Bully_Fight,Bully_Victim,C_IBS_Total,coop1,coop_rt1,coop2,coop_rt2,coop3,coop_rt3,coop4,coop_rt4,coop5,coop_rt5,coop6,coop_rt6,coop7,coop_rt7,coop8,coop_rt8,coop9,coop_rt9,coop10,coop_rt10,Strategy
15,7,9,2,1,3,0,3,1,10,7,9,24,0,0,0,0,0,0,DC,13.48,DC,3.9899999999999984,DD,4.07,DC,3.9800000000000004,DC,4.219999999999999,DC,5.489999999999998,DD,4.18,DC,3.8900000000000006,DC,4.260000000000005,DC,4.299999999999997,draw blood
16,7,8,1,2,1,1,1,1,6,4,15,26,1,0,2,3,1,3,CC,8.37,CC,6.17,CD,4.09,CC,7.130000000000003,DC,4.899999999999999,CC,4.73,CD,4.899999999999999,CC,7.020000000000003,DC,8.18,DC,5.909999999999997,other
14,9,8,2,2,0,0,1,1,10,2,9,21,0,0,0,0,0,0,DC,11.4,CC,7.029999999999999,CD,4.25,CC,4.5,CC,4.449999999999999,CC,4.050000000000001,CD,4.060000000000002,DC,4.289999999999999,DC,5.399999999999999,CC,4.420000000000002,other
13,9,8,2,1,0,1,1,0,9,2,18,23,1,0,0,1,1,1,CC,8.51,DC,4.609999999999999,CD,3.700000000000001,DC,9.120000000000001,CC,4.139999999999997,DC,5.57,CD,6.8700000000000045,CC,4.189999999999998,CC,6.399999999999999,CC,6.030000000000001,draw blood
16,7,7,2,2,2,1,0,1,7,4,12,15,0,0,0,0,0,0,CC,11.12,CC,3.7200000000000006,CD,3.210000000000001,DC,6.809999999999999,CC,5.330000000000002,CC,3.9400000000000013,CD,3.8399999999999963,DC,4.170000000000002,CC,4.469999999999999,CC,3.6300000000000026,other
15,7,4,1,2,3,3,2,0,9,8,17,27,8,10,0,8,18,18,CC,10.51,CC,3.4299999999999997,CD,3.369999999999999,CC,3.400000000000002,CC,3.41,CC,3.3900000000000006,CD,3.379999999999999,DC,3.700000000000003,DC,3.3999999999999986,CC,3.3699999999999974,other
15,4,6,1,1,0,1,4,0,10,5,13,18,2,6,2,4,8,10,CC,9.91,CC,4.01,CD,4.4,CC,6.309999999999999,CC,4.449999999999999,CC,4.57,CD,4.350000000000001,CC,4.560000000000002,CC,4.469999999999999,CC,4.810000000000002,full cooperation
15,7,9,2,1,0,0,4,1,10,5,17,21,1,0,0,1,1,1,CC,11.38,DC,5.92,CD,4.029999999999998,DC,9.040000000000003,DC,5.7499999999999964,CC,6.510000000000005,CD,7.979999999999997,CC,6.18,DC,3.6199999999999974,DC,6.260000000000005,draw blood
14,7,8,1,2,0,0,0,0,10,0,12,28,1,0,0,1,1,1,DC,9.44,DC,5.15,DD,5.43,DC,5.940000000000001,DC,5.009999999999998,DC,5.020000000000003,DD,5.799999999999997,DC,4.800000000000004,DC,4.709999999999994,DC,15.14,draw blood
15,9,9,2,2,1,0,1,2,9,4,8,20,3,1,0,3,4,4,CC,10.04,CC,6.810000000000002,CD,4.649999999999999,CC,4.789999999999999,CC,4.880000000000003,CC,4.420000000000002,CD,4.439999999999998,CC,4.350000000000001,CC,4.519999999999996,CC,6.329999999999998,full cooperation
16,9,9,1,1,1,2,4,0,8,7,11,21,1,0,0,1,1,1,CC,11.33,CC,4.279999999999999,CD,3.629999999999999,DC,3.580000000000002,DC,3.6999999999999993,CC,3.6700000000000017,DD,3.9800000000000004,CC,4.079999999999998,DC,4.159999999999997,CC,9.450000000000003,other
15,4,6,1,2,0,1,3,0,10,4,8,25,2,1,0,2,3,3,CC,10.04,CC,4.100000000000001,CD,4.189999999999998,DC,4.73,CC,4.380000000000003,CC,22.959999999999997,CD,4.789999999999999,DC,4.719999999999999,DC,4.490000000000009,DC,5.25,other
16,9,5,2,1,5,0,1,2,8,8,11,22,3,1,0,3,4,4,CC,12.9,CC,4.130000000000001,CD,3.879999999999999,DC,4.710000000000001,CC,3.8900000000000006,CC,3.7899999999999956,CD,3.8300000000000054,DC,3.979999999999997,CC,3.8500000000000014,CC,4.449999999999996,other
14,9,7,1,1,0,0,1,1,10,2,13,20,1,0,0,1,1,1,CC,10.95,CC,5.030000000000001,CD,5.27,CC,6.539999999999999,CC,6.560000000000002,CC,5.549999999999997,CD,6.560000000000002,CC,6.329999999999998,CC,6.910000000000004,CC,6.539999999999992,full cooperation
14,9,6,2,2,0,0,0,1,10,1,7,28,3,1,1,4,4,5,DC,7.95,DC,4.19,DD,4.43,DC,4.169999999999998,DC,3.950000000000003,DC,3.8299999999999983,DD,3.7600000000000016,DC,3.729999999999997,DC,3.6400000000000006,DC,4.030000000000001,draw blood
15,9,8,1,2,6,0,0,0,9,6,13,24,2,0,0,2,2,2,DC,10.14,CC,4.609999999999999,CD,3.9800000000000004,DC,5.440000000000001,DC,7.459999999999997,DC,12.919999999999998,CD,9.120000000000005,CC,4.1299999999999955,CC,8.350000000000009,DC,5.799999999999997,other
16,6,5,1,2,0,0,0,1,7,1,15,25,1,12,5,6,13,18,DC,9.83,DC,4.17,DD,3.530000000000001,DC,3.509999999999998,DC,3.5,DC,3.6799999999999997,DD,3.6700000000000017,DC,3.4200000000000017,DC,3.729999999999997,DC,3.6000000000000014,draw blood
14,7,7,2,2,2,1,0,1,10,4,14,21,0,0,0,0,0,0,CC,7.88,CC,5.3500000000000005,CD,6.57,DC,10.079999999999998,DC,6.890000000000004,DC,7.009999999999998,CD,4.960000000000001,CC,6.43,DC,6.309999999999995,DC,7.960000000000001,other
14,4,10,1,2,4,1,2,0,10,7,14,27,0,1,3,3,1,4,DC,8.87,DC,3.7600000000000016,DD,3.929999999999998,DC,3.8900000000000006,DC,3.5600000000000023,DC,3.879999999999999,DD,4.280000000000001,DC,4.089999999999996,DC,3.8100000000000023,DC,4.82,draw blood
13,7,8,2,1,0,0,2,0,10,2,10,35,6,0,2,8,6,8,CC,9.4,CC,5.949999999999999,CD,4.630000000000001,DC,9.509999999999998,CC,5.309999999999999,CC,4.560000000000002,CD,8.280000000000001,DC,5.530000000000001,CC,9.189999999999998,CC,5.670000000000002,other
15,9,9,2,1,1,0,1,2,8,4,12,22,10,3,0,10,13,13,CC,10.08,CC,3.9499999999999993,CD,3.99,CC,7.080000000000002,DC,11.71,CC,4.369999999999997,CD,4.060000000000002,DC,4.269999999999996,CC,4.219999999999999,CC,4.6100000000000065,other
17,9,7,1,1,0,0,0,0,9,0,16,28,4,2,0,4,6,6,CC,8.57,CC,3.459999999999999,CD,3.74,CC,3.900000000000002,CC,4.139999999999997,CC,3.6300000000000026,CD,3.9499999999999993,CC,4.140000000000001,CC,3.719999999999999,DC,6.020000000000003,other
16,4,4,2,1,2,1,2,0,5,5,16,20,0,3,0,0,3,3,DC,9.86,DC,4.25,DD,4.379999999999999,CC,5.920000000000002,DC,4.870000000000001,CC,4.729999999999997,DD,4.920000000000002,DC,5.780000000000001,CC,4.43,DC,5.799999999999997,draw blood
13,9,8,1,2,2,3,9,0,10,14,18,38,11,1,4,15,12,16,CC,11.37,DC,3.4800000000000004,DD,3.450000000000001,DC,3.419999999999998,DC,4.100000000000001,DC,3.6900000000000013,DD,3.599999999999998,DC,3.460000000000001,DC,3.6599999999999966,DC,4.020000000000003,draw blood
13,9,10,2,1,1,1,1,0,10,3,19,26,0,0,0,0,0,0,CC,10.63,CC,3.539999999999999,CD,3.630000000000001,DC,4.629999999999999,CC,3.830000000000002,CC,3.75,CD,3.679999999999996,DC,3.5800000000000054,CC,3.559999999999995,CC,4.350000000000001,other
16,7,6,2,1,8,0,1,2,9,11,12,19,2,0,0,2,2,2,CC,10.6,DC,4.57,CD,4.110000000000001,CC,3.8699999999999974,CC,4.460000000000001,CC,4.300000000000001,DD,5.16,CC,4.079999999999998,CC,4.950000000000003,CC,5.32,draw blood
15,8,7,1,2,1,1,1,1,9,4,8,17,2,0,0,2,2,2,CC,10.94,CC,4.99,CD,4.949999999999999,CC,6.18,CC,5.099999999999998,CC,4.890000000000001,CD,5.170000000000002,CC,6.189999999999998,CC,5.520000000000003,DC,5.170000000000002,other
15,8,7,1,2,2,1,9,2,8,14,22,27,0,1,0,0,1,1,CC,11.66,DC,4.84,CD,4.149999999999999,DC,5.940000000000001,DC,5.210000000000001,CC,4.370000000000001,CD,5.769999999999996,DC,4.780000000000001,DC,4.810000000000002,CC,5.759999999999998,draw blood
13,9,8,2,1,10,7,10,5,1,32,31,32,2,4,3,5,6,9,DC,15.85,CC,4.4,DD,4.620000000000001,DC,4.489999999999998,DC,4.289999999999999,DC,5.6200000000000045,CD,4.359999999999999,DC,4.809999999999995,DC,4.039999999999999,CC,4.720000000000006,draw blood
15,7,9,2,2,2,0,1,3,10,6,9,15,0,1,0,0,1,1,CC,15.95,CC,5.760000000000002,CD,5.75,CC,4.969999999999999,CC,5.689999999999998,DC,5.760000000000005,CD,4.739999999999995,CC,6.640000000000001,CC,4.850000000000001,CC,7.200000000000003,other
15,6,8,2,1,1,0,0,0,10,1,10,19,0,0,0,0,0,0,DC,12.57,DC,5.73,DD,3.9499999999999993,DC,3.530000000000001,DC,3.6899999999999977,DC,6.880000000000003,DD,6.3799999999999955,CC,4.660000000000004,CC,4.600000000000001,CC,4.390000000000001,draw blood
14,9,9,1,2,1,0,1,0,10,2,8,17,3,0,0,3,3,3,DC,8.46,DC,8.719999999999999,DD,7.890000000000001,DC,7.289999999999999,DC,6.869999999999997,DC,8.830000000000005,DD,6.030000000000001,DC,6.259999999999998,DC,6.160000000000004,CC,5.11999999999999,draw blood
14,8,6,2,2,4,0,7,2,8,13,13,32,0,0,0,0,0,0,CC,9.38,DC,4.129999999999999,DD,3.860000000000001,DC,4.050000000000001,DC,4.52,DC,4.289999999999999,DD,4.360000000000003,DC,3.6999999999999957,DC,3.990000000000002,DC,5.3799999999999955,draw blood
12,8,3,1,2,3,2,4,0,6,9,20,26,3,0,4,7,3,7,CC,10.44,CC,3.700000000000001,CD,3.710000000000001,CC,4.439999999999998,CC,4.16,CC,3.91,DD,4.520000000000003,CC,4.759999999999998,CC,4.649999999999999,CC,4.369999999999997,other
15,8,9,1,2,0,0,5,5,7,10,14,23,7,3,0,7,10,10,CC,9.72,CC,8.67,CD,3.629999999999999,CC,3.900000000000002,CC,13.219999999999999,CC,5.07,CD,4.93,DC,4.280000000000001,DC,4.6299999999999955,DC,4.090000000000003,other
15,7,7,2,1,4,0,1,3,5,8,15,17,1,0,0,1,1,1,CC,9.26,DC,5.08,CD,4.580000000000002,CC,4.68,DC,4.539999999999999,DC,4.920000000000002,CD,4.089999999999996,DC,4.730000000000004,CC,4.289999999999999,DC,4.729999999999997,draw blood
16,9,9,1,2,1,0,1,3,10,5,17,30,4,2,1,5,6,7,DC,8.58,DC,10.430000000000001,DD,7.779999999999998,DC,5.950000000000003,DC,9.869999999999997,DC,5.219999999999999,DD,8.530000000000001,DC,11.86,DC,7.579999999999998,DC,5.0,draw blood
14,9,9,1,1,1,0,3,6,4,10,11,18,0,0,0,0,0,0,DC,10.62,CC,3.4000000000000004,CD,3.469999999999999,CC,3.3900000000000006,CC,4.290000000000003,CC,3.4299999999999997,CD,3.3999999999999986,CC,4.149999999999999,DC,3.4299999999999997,CC,4.149999999999999,other
14,9,7,2,2,1,0,0,4,10,5,7,20,1,0,0,1,1,1,CC,7.46,CC,4.61,CD,3.8200000000000003,DC,4.099999999999998,CC,5.16,DC,4.670000000000002,CD,4.839999999999996,DC,4.410000000000004,CC,3.740000000000002,CC,6.43,other
14,9,7,2,2,3,0,1,0,10,4,13,16,0,0,0,0,0,0,DC,13.75,CC,5.34,CD,6.91,DC,5.850000000000001,CC,4.579999999999998,CC,6.219999999999999,CD,5.200000000000003,DC,7.479999999999997,CC,5.18,CC,7.059999999999995,other
13,4,6,2,1,1,1,2,0,7,4,16,22,0,0,0,0,0,0,DC,11.26,DC,4.860000000000001,DD,4.129999999999999,CC,4.239999999999998,DC,5.32,CC,4.419999999999998,DD,4.520000000000003,CC,4.969999999999999,CC,8.43,DC,6.649999999999999,draw blood
15,7,6,1,2,0,0,0,0,7,0,14,19,3,0,0,3,3,3,CC,10.97,CC,5.700000000000001,CD,4.609999999999999,DC,3.719999999999999,CC,4.359999999999999,CC,4.07,CD,4.270000000000003,DC,3.9499999999999957,CC,9.68,DC,5.190000000000005,other
15,6,6,1,2,0,0,0,1,9,1,19,29,5,2,0,5,7,7,DC,11.62,DC,5.290000000000001,CD,4.280000000000001,DC,4.52,DC,4.349999999999998,CC,4.309999999999999,CD,6.090000000000003,CC,4.390000000000001,CC,4.229999999999997,DC,4.630000000000003,draw blood
16,9,7,1,2,0,0,0,1,10,1,7,24,2,2,0,2,4,4,CC,10.12,CC,4.690000000000001,CD,4.610000000000001,CC,5.759999999999998,DC,4.580000000000002,CC,6.120000000000001,CD,6.149999999999999,DC,5.699999999999996,CC,6.100000000000001,CC,6.350000000000001,other
15,9,9,2,1,4,1,5,0,6,10,21,28,3,1,0,3,4,4,CC,8.16,CC,5.59,DD,6.190000000000001,DC,5.23,CC,4.369999999999997,DC,9.740000000000002,CD,4.609999999999999,DC,6.519999999999996,CC,5.160000000000004,DC,6.770000000000003,draw blood
14,8,6,2,1,5,0,1,6,9,12,11,32,0,0,1,1,0,1,DC,9.52,DC,4.0,DD,5.550000000000001,DC,4.440000000000001,DC,4.34,DC,4.32,DD,4.18,DC,3.740000000000002,DC,3.979999999999997,DC,4.609999999999999,draw blood
15,9,6,2,2,1,0,0,0,10,1,12,16,0,0,0,0,0,0,CC,13.05,CC,4.779999999999998,CD,4.310000000000002,DC,4.489999999999998,CC,4.210000000000001,CC,4.360000000000003,CD,3.9199999999999946,DC,3.760000000000005,CC,4.469999999999999,CC,4.1299999999999955,other
16,9,8,1,1,0,2,4,1,7,7,18,23,9,3,0,9,12,12,CC,8.83,CC,3.539999999999999,CD,3.6400000000000023,DC,3.84,DC,4.779999999999998,DC,3.490000000000002,DD,4.59,DC,3.759999999999998,DC,4.170000000000002,DC,4.700000000000003,other
14,9,9,2,2,1,0,0,0,10,1,10,17,2,1,0,2,3,3,CC,10.15,CC,5.65,CD,4.32,DC,6.550000000000001,CC,5.839999999999996,DC,5.200000000000003,CD,5.479999999999997,CC,7.340000000000003,CC,4.719999999999999,DC,4.57,other
14,4,10,1,1,2,1,1,0,8,4,14,30,1,1,2,3,2,4,DC,12.19,DC,3.540000000000001,DD,3.4800000000000004,DC,3.599999999999998,DC,3.6799999999999997,DC,3.7600000000000016,DD,3.6199999999999974,DC,3.6500000000000057,DC,3.5799999999999983,DC,3.990000000000002,draw blood
13,9,9,2,1,1,0,1,0,10,2,13,29,1,2,0,1,3,3,CC,17.66,DC,4.640000000000001,CD,5.539999999999999,DC,5.059999999999999,CC,3.950000000000003,CC,4.899999999999999,DD,5.18,DC,4.689999999999998,DC,4.200000000000003,DC,4.869999999999997,draw blood
13,7,10,1,1,1,0,0,0,10,1,9,18,0,0,0,0,0,0,DC,18.97,CC,7.550000000000001,CD,6.84,DC,6.259999999999998,CC,6.510000000000005,CC,5.899999999999999,DD,6.219999999999999,CC,6.819999999999993,DC,6.900000000000006,CC,6.820000000000007,other
14,6,6,2,1,1,1,4,1,4,7,8,27,1,1,0,1,2,2,CC,10.14,CC,7.18,DD,9.36,CC,4.940000000000001,DC,5.620000000000001,DC,5.43,DD,4.640000000000001,DC,4.349999999999994,DC,4.960000000000001,DC,6.109999999999999,draw blood
15,7,9,1,2,0,1,0,0,3,1,7,19,1,0,0,1,1,1,CC,11.13,DC,5.609999999999998,DD,4.800000000000001,CC,4.27,CC,6.930000000000003,CC,8.229999999999997,CD,5.640000000000001,DC,4.490000000000002,DC,6.159999999999997,CC,4.310000000000002,draw blood
14,9,5,1,1,0,0,0,4,7,4,18,32,4,2,0,4,6,6,DC,11.68,DC,5.990000000000002,DD,6.09,DC,4.199999999999999,DC,6.359999999999999,DC,6.259999999999998,DD,5.270000000000003,DC,4.6299999999999955,DC,4.970000000000006,DC,4.799999999999997,draw blood
13,9,7,1,1,2,2,6,0,2,10,19,38,6,0,5,11,6,11,DC,10.46,CC,5.649999999999999,DD,4.550000000000001,CC,7.260000000000002,CC,11.420000000000002,CC,4.059999999999995,CD,4.190000000000005,DC,5.329999999999998,DC,4.159999999999997,DC,5.300000000000004,draw blood
16,7,6,2,1,2,0,0,0,10,2,15,23,1,2,1,2,3,4,CC,10.03,CC,5.74,CD,4.440000000000001,CC,5.419999999999998,CC,4.490000000000002,DC,4.650000000000002,CD,4.93,CC,5.849999999999994,CC,6.950000000000003,DC,5.939999999999998,other
15,9,9,2,2,2,0,1,3,6,6,12,27,2,1,1,3,3,4,CC,11.13,CC,4.379999999999999,CD,3.8400000000000016,CC,7.52,DC,4.649999999999999,CC,4.580000000000002,CD,3.990000000000002,DC,4.229999999999997,CC,5.560000000000002,DC,4.559999999999995,other
14,7,10,2,1,6,1,2,0,10,9,14,28,4,0,1,5,4,5,DC,9.57,DC,6.129999999999999,CD,5.98,DC,6.080000000000002,DC,6.09,CC,6.780000000000001,DD,5.649999999999999,DC,5.759999999999998,DC,5.090000000000003,CC,6.739999999999995,draw blood
16,9,9,1,1,1,0,0,4,10,5,11,39,7,3,1,8,10,11,DC,10.34,DC,4.27,DD,5.560000000000002,DC,4.329999999999998,DC,4.609999999999999,DC,4.469999999999999,DD,4.149999999999999,DC,4.700000000000003,DC,4.18,DC,4.079999999999998,draw blood
13,8,6,1,1,4,3,8,1,6,16,22,43,9,3,0,9,12,12,DC,10.25,DC,5.24,DD,4.279999999999999,DC,4.190000000000001,DC,4.079999999999998,DC,4.550000000000004,DD,7.709999999999994,DC,3.460000000000001,DC,5.440000000000005,DC,4.769999999999996,draw blood
14,7,8,2,2,5,1,5,4,6,15,11,27,0,1,0,0,1,1,CC,11.43,CC,3.8000000000000007,CD,3.5599999999999987,CC,5.100000000000001,CC,4.289999999999999,CC,3.5700000000000003,CD,3.6300000000000026,CC,3.6899999999999977,CC,3.8100000000000023,CC,5.299999999999997,full cooperation
15,7,5,2,1,1,3,3,0,8,7,20,33,2,1,2,4,3,5,DC,12.22,DC,4.51,DD,4.25,CC,4.440000000000001,CC,5.77,DC,4.219999999999995,DD,4.410000000000004,DC,4.560000000000002,DC,4.049999999999997,DC,5.100000000000001,draw blood
16,7,5,1,2,2,0,3,2,9,7,18,29,9,0,1,10,9,10,DC,7.85,CC,4.450000000000001,DD,4.969999999999999,CC,4.050000000000001,CC,5.030000000000001,CC,4.759999999999998,CD,5.039999999999999,DC,5.340000000000003,CC,6.059999999999995,DC,5.609999999999999,draw blood
14,9,8,2,2,0,0,0,0,9,0,14,30,2,0,0,2,2,2,DC,8.92,DC,3.99,DD,5.129999999999999,DC,5.970000000000002,DC,6.149999999999999,DC,5.099999999999998,DD,4.510000000000005,DC,4.769999999999996,DC,6.039999999999999,DC,5.560000000000002,draw blood
16,9,6,2,1,3,2,0,0,9,5,22,21,1,0,0,1,1,1,CC,9.18,CC,3.880000000000001,CD,3.709999999999999,DC,5.170000000000002,CC,4.239999999999998,CC,3.9200000000000017,CD,3.990000000000002,DC,4.589999999999996,CC,4.719999999999999,DC,7.740000000000002,other
17,9,7,1,2,0,0,0,0,10,0,7,18,2,0,0,2,2,2,CC,11.1,CC,3.880000000000001,CD,3.719999999999999,CC,4.400000000000002,CC,4.479999999999997,CC,3.9300000000000033,CD,4.279999999999998,CC,4.810000000000002,CC,4.600000000000001,DC,4.739999999999995,other
16,9,10,2,1,1,0,0,1,9,2,13,29,0,0,0,0,0,0,CC,8.73,DC,4.699999999999999,DD,6.129999999999999,CC,3.7600000000000016,CC,6.079999999999998,DC,6.920000000000002,CD,5.030000000000001,DC,3.969999999999999,CC,4.93,DC,4.039999999999999,draw blood
14,7,10,2,2,1,0,3,0,8,4,9,27,3,2,0,3,5,5,DC,13.61,DC,3.9499999999999993,DD,4.43,DC,5.890000000000001,DC,4.470000000000002,DC,4.119999999999997,DD,4.6200000000000045,DC,3.6699999999999946,DC,4.719999999999999,DC,3.950000000000003,draw blood
14,9,9,1,2,2,0,3,6,3,11,15,29,0,0,0,0,0,0,CC,7.33,CC,4.0600000000000005,CD,3.4499999999999993,DC,4.609999999999999,CC,3.7600000000000016,CC,4.119999999999997,CD,4.190000000000001,DC,3.4700000000000024,DC,4.280000000000001,DC,4.089999999999996,other
14,9,9,2,1,1,0,0,0,10,1,7,19,1,0,0,1,1,1,CC,8.1,CC,4.120000000000001,CD,4.040000000000001,CC,4.859999999999999,DC,5.779999999999998,CC,4.75,CD,5.670000000000002,DC,5.149999999999999,DC,5.32,DC,7.82,other
15,7,7,1,1,0,0,1,0,9,1,13,26,4,1,0,4,5,5,DC,9.59,CC,4.09,DD,5.600000000000001,CC,4.0,DC,4.419999999999998,CC,4.510000000000002,CD,3.8200000000000003,DC,4.049999999999997,CC,3.960000000000001,CC,3.730000000000004,draw blood
14,9,8,2,1,2,0,1,2,9,5,11,17,0,0,0,0,0,0,DC,11.56,DC,5.17,DD,4.43,DC,4.300000000000001,DC,4.219999999999999,DC,3.710000000000001,DD,3.8599999999999994,DC,3.6499999999999986,DC,4.18,DC,10.190000000000005,draw blood
