City/Town,Ward,Precinct,Democratic,Republican, Libertarian ,Green-Rainbow,All Others,No Preference,Blanks,Total Votes Cast
Alford, -,1,271.00,50.00,1.00,1.00,2.00,0.00,5.00,330.00
Amesbury, -,1,1209.00,646.00,25.00,7.00,8.00,0.00,13.00,1908.00
Amesbury, -,2,1165.00,502.00,30.00,11.00,3.00,0.00,15.00,1726.00
Amesbury, -,3,1189.00,510.00,36.00,11.00,7.00,0.00,6.00,1759.00
Amesbury, -,4,977.00,487.00,25.00,4.00,8.00,0.00,4.00,1505.00
Amesbury, -,5,1167.00,732.00,39.00,15.00,12.00,0.00,15.00,1980.00
Amesbury, -,6,1079.00,449.00,19.00,6.00,17.00,0.00,14.00,1584.00
Amherst, -,1,944.00,62.00,11.00,14.00,5.00,0.00,3.00,1039.00
Amherst, -,2,1267.00,121.00,10.00,14.00,11.00,0.00,3.00,1426.00
Amherst, -,3,476.00,46.00,3.00,6.00,2.00,0.00,1.00,534.00
Amherst, -,4,449.00,29.00,2.00,2.00,9.00,0.00,4.00,495.00
Amherst, -,5,1019.00,98.00,8.00,16.00,2.00,0.00,6.00,1149.00
Amherst, -,6,1580.00,133.00,14.00,18.00,11.00,0.00,10.00,1766.00
Amherst, -,7,1547.00,150.00,14.00,16.00,5.00,0.00,8.00,1740.00
Amherst, -,8,1765.00,127.00,14.00,17.00,7.00,0.00,3.00,1933.00
Amherst, -,9,1143.00,75.00,8.00,20.00,9.00,0.00,3.00,1258.00
Amherst, -,10,528.00,32.00,5.00,6.00,1.00,0.00,1.00,573.00
Andover, -,1,1362.00,477.00,24.00,10.00,12.00,0.00,13.00,1898.00
Andover, -,2,1717.00,843.00,27.00,16.00,21.00,0.00,5.00,2629.00
Andover, -,3,1658.00,663.00,37.00,11.00,16.00,0.00,9.00,2394.00
Andover, -,4,1583.00,812.00,33.00,12.00,23.00,0.00,16.00,2479.00
Andover, -,5,1756.00,927.00,39.00,5.00,18.00,0.00,21.00,2766.00
Andover, -,6,1628.00,813.00,34.00,11.00,15.00,0.00,17.00,2518.00
Andover, -,7,1253.00,594.00,19.00,16.00,10.00,0.00,27.00,1919.00
Andover, -,8,1602.00,678.00,30.00,9.00,23.00,0.00,20.00,2362.00
Andover, -,9,1592.00,732.00,33.00,8.00,11.00,0.00,24.00,2400.00
Aquinnah, -,1,311.00,34.00,8.00,1.00,1.00,0.00,0.00,355.00
Arlington, -,1,885.00,154.00,11.00,4.00,5.00,0.00,10.00,1069.00
Arlington, -,2,1196.00,216.00,12.00,5.00,5.00,0.00,10.00,1444.00
Arlington, -,3,1223.00,137.00,11.00,10.00,6.00,0.00,11.00,1398.00
Arlington, -,4,1112.00,169.00,12.00,5.00,10.00,0.00,10.00,1318.00
Arlington, -,5,1095.00,207.00,9.00,9.00,5.00,0.00,7.00,1332.00
Arlington, -,6,1084.00,173.00,14.00,7.00,6.00,0.00,5.00,1289.00
Arlington, -,7,1080.00,168.00,9.00,13.00,3.00,0.00,4.00,1277.00
Arlington, -,8,1281.00,173.00,11.00,4.00,6.00,0.00,6.00,1481.00
Arlington, -,9,1025.00,219.00,9.00,5.00,8.00,0.00,14.00,1280.00
Arlington, -,10,1246.00,179.00,13.00,4.00,2.00,0.00,13.00,1457.00
Arlington, -,11,1187.00,255.00,6.00,7.00,5.00,0.00,15.00,1475.00
Arlington, -,12,1300.00,223.00,13.00,6.00,5.00,0.00,15.00,1562.00
Arlington, -,13,992.00,368.00,15.00,8.00,8.00,0.00,9.00,1400.00
Arlington, -,14,1116.00,189.00,14.00,5.00,1.00,0.00,7.00,1332.00
Arlington, -,15,1192.00,274.00,6.00,10.00,9.00,0.00,12.00,1503.00
Arlington, -,16,1083.00,203.00,9.00,9.00,6.00,0.00,11.00,1321.00
Arlington, -,17,1059.00,182.00,9.00,7.00,6.00,0.00,9.00,1272.00
Arlington, -,18,1120.00,307.00,14.00,9.00,6.00,0.00,4.00,1460.00
Arlington, -,19,1145.00,233.00,13.00,6.00,2.00,0.00,10.00,1409.00
Arlington, -,20,1100.00,196.00,11.00,6.00,10.00,0.00,9.00,1332.00
Arlington, -,21,1150.00,156.00,11.00,10.00,4.00,0.00,17.00,1348.00
Ashburnham, -,1,2030.00,1667.00,87.00,21.00,22.00,0.00,10.00,3837.00
Ashby, -,1,956.00,1008.00,41.00,16.00,2.00,0.00,9.00,2032.00
Ashfield, -,1,993.00,180.00,30.00,12.00,3.00,0.00,12.00,1230.00
Ashland, -,1,1371.00,566.00,31.00,11.00,0.00,0.00,22.00,2001.00
Ashland, -,2,1528.00,594.00,36.00,5.00,0.00,0.00,22.00,2185.00
Ashland, -,3,1373.00,593.00,23.00,10.00,0.00,0.00,30.00,2029.00
Ashland, -,4,1368.00,576.00,19.00,13.00,0.00,0.00,21.00,1997.00
Ashland, -,5,1668.00,607.00,44.00,8.00,0.00,0.00,25.00,2352.00
Athol, -,1,952.00,906.00,36.00,18.00,16.00,0.00,14.00,1942.00
Athol, -,2,811.00,895.00,50.00,27.00,7.00,0.00,8.00,1798.00
Athol, -,3,942.00,778.00,42.00,12.00,10.00,0.00,7.00,1791.00
Attleboro,1,A,1006.00,800.00,31.00,12.00,4.00,0.00,8.00,1861.00
Attleboro,1,B,1071.00,806.00,27.00,6.00,8.00,0.00,7.00,1925.00
Attleboro,2,A,1157.00,813.00,36.00,13.00,11.00,0.00,7.00,2037.00
Attleboro,2,B,1268.00,942.00,42.00,19.00,8.00,0.00,16.00,2295.00
Attleboro,3,A,1276.00,753.00,23.00,15.00,6.00,0.00,16.00,2089.00
Attleboro,3,B,1242.00,758.00,30.00,10.00,10.00,0.00,6.00,2056.00
Attleboro,4,A,1038.00,530.00,23.00,13.00,10.00,0.00,14.00,1628.00
Attleboro,4,B,1452.00,1113.00,29.00,9.00,7.00,0.00,10.00,2620.00
Attleboro,5,A,801.00,382.00,26.00,13.00,5.00,0.00,15.00,1242.00
Attleboro,5,B,1144.00,749.00,27.00,14.00,10.00,0.00,7.00,1951.00
Attleboro,6,A,1036.00,795.00,34.00,19.00,5.00,0.00,11.00,1900.00
Attleboro,6,B,1170.00,831.00,45.00,6.00,16.00,0.00,19.00,2087.00
Auburn, -,1,1172.00,916.00,43.00,15.00,13.00,0.00,12.00,2171.00
Auburn, -,2,1160.00,910.00,35.00,6.00,1.00,0.00,11.00,2123.00
Auburn, -,3,1171.00,910.00,27.00,12.00,5.00,0.00,12.00,2137.00
Auburn, -,4,1101.00,720.00,32.00,20.00,6.00,0.00,12.00,1891.00
Auburn, -,5,1016.00,850.00,36.00,13.00,11.00,0.00,13.00,1939.00
Avon, -,1,1601.00,1030.00,36.00,21.00,9.00,0.00,26.00,2723.00
Ayer, -,1,1387.00,718.00,44.00,12.00,12.00,0.00,15.00,2188.00
Ayer, -,2,1545.00,819.00,67.00,14.00,7.00,0.00,13.00,2465.00
Barnstable, -,1,1693.00,1025.00,37.00,9.00,1.00,0.00,37.00,2802.00
Barnstable, -,2,1338.00,1000.00,35.00,10.00,0.00,0.00,24.00,2407.00
Barnstable, -,3,1111.00,670.00,20.00,9.00,3.00,0.00,11.00,1824.00
Barnstable, -,4,1300.00,814.00,31.00,6.00,0.00,0.00,37.00,2188.00
Barnstable, -,5,1356.00,1117.00,18.00,3.00,11.00,0.00,17.00,2522.00
Barnstable, -,6,1318.00,1040.00,20.00,7.00,4.00,0.00,16.00,2405.00
Barnstable, -,7,1595.00,1003.00,35.00,19.00,1.00,0.00,26.00,2679.00
Barnstable, -,8,1027.00,605.00,23.00,10.00,0.00,0.00,10.00,1675.00
Barnstable, -,9,733.00,384.00,14.00,11.00,0.00,0.00,9.00,1151.00
Barnstable, -,10,1197.00,985.00,45.00,3.00,1.00,0.00,15.00,2246.00
Barnstable, -,11,1387.00,1124.00,37.00,7.00,3.00,0.00,24.00,2582.00
Barnstable, -,12,1402.00,1082.00,35.00,11.00,0.00,0.00,20.00,2550.00
Barnstable, -,13,1034.00,587.00,15.00,5.00,1.00,0.00,11.00,1653.00
Barre, -,1,853.00,723.00,35.00,13.00,5.00,0.00,5.00,1634.00
Barre, -,2,682.00,800.00,33.00,6.00,7.00,0.00,5.00,1533.00
Becket, -,1,757.00,413.00,17.00,6.00,2.00,0.00,3.00,1198.00
Bedford, -,1,1782.00,535.00,36.00,8.00,20.00,0.00,7.00,2388.00
Bedford, -,2,1457.00,649.00,29.00,17.00,13.00,0.00,13.00,2178.00
Bedford, -,3,1717.00,501.00,31.00,9.00,11.00,0.00,17.00,2286.00
Bedford, -,4,1496.00,495.00,30.00,10.00,13.00,0.00,6.00,2050.00
Belchertown, -,A,1519.00,771.00,38.00,16.00,8.00,0.00,17.00,2369.00
Belchertown, -,B,1351.00,996.00,35.00,23.00,3.00,0.00,39.00,2447.00
Belchertown, -,C,1405.00,1028.00,44.00,12.00,4.00,0.00,13.00,2506.00
Belchertown, -,D,1618.00,686.00,30.00,17.00,5.00,0.00,13.00,2369.00
Bellingham, -,1,1039.00,800.00,31.00,11.00,7.00,0.00,3.00,1891.00
Bellingham, -,2,1118.00,967.00,31.00,17.00,14.00,0.00,12.00,2159.00
Bellingham, -,3,1213.00,898.00,31.00,16.00,7.00,0.00,8.00,2173.00
Bellingham, -,4,795.00,737.00,24.00,10.00,8.00,0.00,9.00,1583.00
Bellingham, -,5,900.00,868.00,39.00,12.00,9.00,0.00,11.00,1839.00
Belmont, -,1,1552.00,332.00,20.00,25.00,14.00,0.00,16.00,1959.00
Belmont, -,2,1583.00,447.00,33.00,8.00,19.00,0.00,31.00,2121.00
Belmont, -,3,1436.00,366.00,25.00,10.00,18.00,0.00,20.00,1875.00
Belmont, -,4,1266.00,330.00,22.00,18.00,9.00,0.00,13.00,1658.00
Belmont, -,5,1444.00,349.00,20.00,11.00,10.00,0.00,13.00,1847.00
Belmont, -,6,1540.00,314.00,22.00,12.00,11.00,0.00,15.00,1914.00
Belmont, -,7,1588.00,316.00,20.00,13.00,8.00,0.00,14.00,1959.00
Belmont, -,8,1590.00,502.00,21.00,14.00,18.00,0.00,14.00,2159.00
Berkley, -,1,977.00,1178.00,40.00,13.00,9.00,0.00,4.00,2221.00
Berkley, -,2,787.00,1073.00,22.00,7.00,7.00,0.00,26.00,1922.00
Berlin, -,1,1375.00,816.00,48.00,18.00,8.00,0.00,10.00,2275.00
Bernardston, -,1,916.00,423.00,28.00,8.00,0.00,0.00,10.00,1385.00
Beverly,1,1,1220.00,615.00,24.00,10.00,2.00,0.00,24.00,1895.00
Beverly,1,2,1402.00,662.00,38.00,11.00,7.00,0.00,26.00,2146.00
Beverly,2,1,1557.00,468.00,40.00,9.00,3.00,0.00,18.00,2095.00
Beverly,2,2,1615.00,457.00,31.00,12.00,6.00,0.00,17.00,2138.00
Beverly,3,1,1293.00,469.00,34.00,16.00,3.00,0.00,14.00,1829.00
Beverly,3,2,1209.00,605.00,28.00,9.00,7.00,0.00,17.00,1875.00
Beverly,4,1,897.00,386.00,16.00,3.00,7.00,0.00,13.00,1322.00
Beverly,4,2,1830.00,581.00,31.00,7.00,5.00,0.00,26.00,2480.00
Beverly,5,1,1380.00,729.00,32.00,6.00,6.00,0.00,17.00,2170.00
Beverly,5,2,1334.00,732.00,36.00,10.00,1.00,0.00,23.00,2136.00
Beverly,6,1,1584.00,643.00,29.00,12.00,7.00,0.00,31.00,2306.00
Beverly,6,2,1382.00,858.00,36.00,4.00,4.00,0.00,28.00,2312.00
Billerica, -,1,1350.00,880.00,47.00,7.00,11.00,0.00,16.00,2311.00
Billerica, -,2,1271.00,930.00,32.00,12.00,8.00,0.00,11.00,2264.00
Billerica, -,3,1199.00,993.00,28.00,11.00,23.00,0.00,16.00,2270.00
Billerica, -,4,1020.00,860.00,20.00,7.00,10.00,0.00,10.00,1927.00
Billerica, -,5,1226.00,1110.00,32.00,9.00,6.00,0.00,9.00,2392.00
Billerica, -,6,1263.00,958.00,26.00,27.00,10.00,0.00,15.00,2299.00
Billerica, -,7,1255.00,805.00,29.00,9.00,8.00,0.00,12.00,2118.00
Billerica, -,8,1303.00,1035.00,38.00,4.00,9.00,0.00,14.00,2403.00
Billerica, -,9,1137.00,1048.00,28.00,4.00,9.00,0.00,12.00,2238.00
Billerica, -,10,1169.00,1103.00,43.00,7.00,8.00,0.00,9.00,2339.00
Billerica, -,11,1135.00,1009.00,37.00,16.00,10.00,0.00,10.00,2217.00
Blackstone, -,1,777.00,767.00,24.00,9.00,8.00,0.00,3.00,1588.00
Blackstone, -,2,893.00,898.00,34.00,10.00,3.00,0.00,6.00,1844.00
Blackstone, -,3,780.00,895.00,24.00,8.00,5.00,0.00,9.00,1721.00
Blandford, -,1,307.00,454.00,13.00,1.00,0.00,0.00,6.00,781.00
Bolton, -,1,2529.00,1140.00,75.00,18.00,0.00,0.00,51.00,3813.00
Boston,1,1,939.00,206.00,12.00,8.00,9.00,0.00,8.00,1182.00
Boston,1,2,668.00,156.00,8.00,5.00,8.00,0.00,5.00,850.00
Boston,1,3,1734.00,383.00,24.00,8.00,9.00,0.00,7.00,2165.00
Boston,1,4,740.00,135.00,9.00,3.00,4.00,0.00,4.00,895.00
Boston,1,5,812.00,199.00,19.00,4.00,6.00,0.00,0.00,1040.00
Boston,1,6,707.00,154.00,12.00,3.00,3.00,0.00,5.00,884.00
Boston,1,7,730.00,182.00,11.00,4.00,8.00,0.00,4.00,939.00
Boston,1,8,926.00,257.00,8.00,9.00,8.00,0.00,8.00,1216.00
Boston,1,9,670.00,154.00,7.00,5.00,1.00,0.00,5.00,842.00
Boston,1,10,455.00,126.00,8.00,2.00,2.00,0.00,4.00,597.00
Boston,1,11,717.00,329.00,12.00,4.00,3.00,0.00,7.00,1072.00
Boston,1,12,704.00,376.00,9.00,4.00,1.00,0.00,3.00,1097.00
Boston,1,13,995.00,404.00,12.00,5.00,9.00,0.00,5.00,1430.00
Boston,1,14,446.00,239.00,3.00,1.00,1.00,0.00,11.00,701.00
Boston,1,15,1.00,0.00, -   ,0.00,0.00,0.00,0.00,1.00
Boston,2,1,1314.00,396.00,25.00,2.00,10.00,0.00,8.00,1755.00
Boston,2,2,1722.00,434.00,17.00,8.00,15.00,0.00,13.00,2209.00
Boston,2,3,1054.00,212.00,18.00,0.00,13.00,0.00,9.00,1306.00
Boston,2,4,949.00,234.00,14.00,5.00,8.00,0.00,10.00,1220.00
Boston,2,5,1054.00,286.00,14.00,8.00,10.00,0.00,9.00,1381.00
Boston,2,6,1224.00,398.00,17.00,5.00,11.00,0.00,20.00,1675.00
Boston,2,7,1190.00,314.00,27.00,3.00,14.00,0.00,8.00,1556.00
Boston,3,1,1784.00,587.00,25.00,9.00,19.00,0.00,13.00,2437.00
Boston,3,2,931.00,290.00,18.00,3.00,7.00,0.00,6.00,1255.00
Boston,3,3,1055.00,279.00,14.00,6.00,5.00,0.00,5.00,1364.00
Boston,3,4,1208.00,356.00,20.00,9.00,8.00,0.00,8.00,1609.00
Boston,3,5,2267.00,454.00,28.00,13.00,24.00,0.00,16.00,2802.00
Boston,3,6,2718.00,634.00,47.00,11.00,29.00,0.00,28.00,3467.00
Boston,3,7,2545.00,225.00,26.00,6.00,16.00,0.00,9.00,2827.00
Boston,3,8,3506.00,614.00,34.00,16.00,20.00,0.00,44.00,4234.00
Boston,4,1,1327.00,148.00,22.00,3.00,5.00,0.00,10.00,1515.00
Boston,4,2,1954.00,319.00,21.00,9.00,12.00,0.00,13.00,2328.00
Boston,4,3,952.00,85.00,11.00,1.00,6.00,0.00,3.00,1058.00
Boston,4,4,1273.00,110.00,24.00,4.00,6.00,0.00,8.00,1425.00
Boston,4,5,866.00,110.00,6.00,2.00,6.00,0.00,6.00,996.00
Boston,4,6,746.00,124.00,9.00,3.00,3.00,0.00,2.00,887.00
Boston,4,7,779.00,79.00,4.00,3.00,8.00,0.00,4.00,877.00
Boston,4,8,601.00,117.00,6.00,12.00,6.00,0.00,4.00,746.00
Boston,4,9,394.00,38.00,2.00,1.00,0.00,0.00,1.00,436.00
Boston,4,10,205.00,15.00, -   ,1.00,0.00,0.00,1.00,222.00
Boston,5,1,2633.00,372.00,36.00,10.00,20.00,0.00,28.00,3099.00
Boston,5,2,972.00,92.00,5.00,7.00,2.00,0.00,2.00,1080.00
Boston,5,2A,653.00,83.00,10.00,7.00,3.00,0.00,3.00,759.00
Boston,5,3,1165.00,164.00,19.00,7.00,17.00,0.00,11.00,1383.00
Boston,5,4,1447.00,175.00,21.00,6.00,11.00,0.00,7.00,1667.00
Boston,5,5,455.00,77.00,1.00,0.00,7.00,0.00,3.00,543.00
Boston,5,6,1121.00,207.00,27.00,8.00,12.00,0.00,6.00,1381.00
Boston,5,7,1401.00,246.00,20.00,9.00,15.00,0.00,14.00,1705.00
Boston,5,8,1266.00,241.00,22.00,6.00,14.00,0.00,8.00,1557.00
Boston,5,9,1722.00,282.00,21.00,9.00,13.00,0.00,11.00,2058.00
Boston,5,10,956.00,161.00,15.00,9.00,14.00,0.00,5.00,1160.00
Boston,5,11,778.00,114.00,11.00,1.00,11.00,0.00,5.00,920.00
Boston,6,1,4057.00,1016.00,72.00,19.00,29.00,0.00,30.00,5223.00
Boston,6,2,795.00,239.00,21.00,4.00,9.00,0.00,4.00,1072.00
Boston,6,3,1177.00,378.00,20.00,3.00,8.00,0.00,9.00,1595.00
Boston,6,4,1078.00,399.00,20.00,7.00,11.00,0.00,6.00,1521.00
Boston,6,5,1121.00,388.00,22.00,7.00,8.00,0.00,10.00,1556.00
Boston,6,6,820.00,411.00,21.00,3.00,7.00,0.00,4.00,1266.00
Boston,6,7,948.00,430.00,21.00,0.00,17.00,0.00,7.00,1423.00
Boston,6,8,823.00,419.00,19.00,4.00,7.00,0.00,5.00,1277.00
Boston,6,9,751.00,471.00,18.00,3.00,15.00,0.00,3.00,1261.00
Boston,7,1,731.00,383.00,12.00,1.00,8.00,0.00,9.00,1144.00
Boston,7,2,981.00,460.00,19.00,0.00,10.00,0.00,8.00,1478.00
Boston,7,3,1015.00,471.00,21.00,0.00,8.00,0.00,4.00,1519.00
Boston,7,4,933.00,359.00,18.00,4.00,4.00,0.00,2.00,1320.00
Boston,7,5,841.00,229.00,16.00,5.00,7.00,0.00,3.00,1101.00
Boston,7,6,763.00,259.00,21.00,0.00,7.00,0.00,3.00,1053.00
Boston,7,7,613.00,149.00,3.00,2.00,0.00,0.00,0.00,767.00
Boston,7,8,815.00,228.00,11.00,9.00,8.00,0.00,4.00,1075.00
Boston,7,9,659.00,184.00,12.00,6.00,2.00,0.00,3.00,866.00
Boston,7,10,700.00,72.00,3.00,2.00,1.00,0.00,4.00,782.00
Boston,8,1,841.00,95.00,5.00,1.00,3.00,0.00,4.00,949.00
Boston,8,2,1436.00,148.00,16.00,3.00,4.00,0.00,18.00,1625.00
Boston,8,3,676.00,64.00,4.00,5.00,3.00,0.00,4.00,756.00
Boston,8,4,416.00,36.00,5.00,1.00,2.00,0.00,4.00,464.00
Boston,8,5,784.00,79.00,7.00,2.00,4.00,0.00,2.00,878.00
Boston,8,6,300.00,35.00,3.00,3.00,1.00,0.00,1.00,343.00
Boston,8,7,603.00,38.00,3.00,6.00,0.00,0.00,4.00,654.00
Boston,9,1,1129.00,140.00,9.00,5.00,8.00,0.00,8.00,1299.00
Boston,9,2,1516.00,120.00,17.00,11.00,7.00,0.00,4.00,1675.00
Boston,9,3,1797.00,142.00,7.00,7.00,4.00,0.00,7.00,1964.00
Boston,9,4,1133.00,107.00,5.00,6.00,1.00,0.00,4.00,1256.00
Boston,9,5,1337.00,73.00,6.00,6.00,6.00,0.00,13.00,1441.00
Boston,10,1,608.00,58.00,1.00,4.00,1.00,0.00,1.00,673.00
Boston,10,2,548.00,66.00,3.00,3.00,4.00,0.00,2.00,626.00
Boston,10,3,522.00,60.00,6.00,3.00,2.00,0.00,5.00,598.00
Boston,10,4,995.00,207.00,7.00,8.00,4.00,0.00,5.00,1226.00
Boston,10,5,682.00,72.00,11.00,7.00,8.00,0.00,5.00,785.00
Boston,10,6,775.00,74.00,10.00,9.00,11.00,0.00,1.00,880.00
Boston,10,7,991.00,72.00,3.00,3.00,6.00,0.00,11.00,1086.00
Boston,10,8,1303.00,106.00,8.00,15.00,11.00,0.00,12.00,1455.00
Boston,10,9,1509.00,79.00,17.00,11.00,9.00,0.00,2.00,1627.00
Boston,11,1,634.00,34.00,6.00,8.00,3.00,0.00,3.00,688.00
Boston,11,2,1021.00,59.00, -   ,3.00,5.00,0.00,6.00,1094.00
Boston,11,3,787.00,58.00,3.00,8.00,0.00,0.00,4.00,860.00
Boston,11,4,1252.00,73.00,7.00,18.00,10.00,0.00,9.00,1369.00
Boston,11,5,1078.00,95.00,4.00,10.00,4.00,0.00,3.00,1194.00
Boston,11,6,907.00,45.00,9.00,12.00,2.00,0.00,3.00,978.00
Boston,11,7,1101.00,80.00,6.00,9.00,5.00,0.00,1.00,1202.00
Boston,11,8,1536.00,78.00,14.00,11.00,8.00,0.00,10.00,1657.00
Boston,11,9,797.00,48.00,4.00,14.00,2.00,0.00,0.00,865.00
Boston,11,10,1024.00,40.00,8.00,8.00,2.00,0.00,7.00,1089.00
Boston,12,1,1037.00,61.00,8.00,6.00,3.00,0.00,7.00,1122.00
Boston,12,2,1285.00,77.00,6.00,5.00,6.00,0.00,10.00,1389.00
Boston,12,3,529.00,33.00,2.00,3.00,1.00,0.00,0.00,568.00
Boston,12,4,718.00,54.00,2.00,5.00,1.00,0.00,7.00,787.00
Boston,12,5,481.00,24.00, -   ,0.00,2.00,0.00,5.00,512.00
Boston,12,6,597.00,43.00,3.00,5.00,0.00,0.00,9.00,657.00
Boston,12,7,1300.00,97.00,8.00,5.00,11.00,0.00,9.00,1430.00
Boston,12,8,503.00,32.00,2.00,1.00,0.00,0.00,2.00,540.00
Boston,12,9,655.00,37.00,3.00,2.00,2.00,0.00,7.00,706.00
Boston,13,1,839.00,67.00,3.00,4.00,5.00,0.00,10.00,928.00
Boston,13,2,346.00,33.00,3.00,1.00,3.00,0.00,0.00,386.00
Boston,13,3,761.00,126.00,12.00,6.00,9.00,0.00,1.00,915.00
Boston,13,4,616.00,56.00,3.00,2.00,1.00,0.00,4.00,682.00
Boston,13,5,595.00,51.00,10.00,2.00,2.00,0.00,1.00,661.00
Boston,13,6,807.00,108.00,6.00,8.00,5.00,0.00,3.00,937.00
Boston,13,7,820.00,268.00,9.00,8.00,3.00,0.00,4.00,1112.00
Boston,13,8,732.00,219.00,5.00,9.00,9.00,0.00,5.00,979.00
Boston,13,9,843.00,206.00,6.00,5.00,3.00,0.00,2.00,1065.00
Boston,13,10,1027.00,360.00,18.00,10.00,9.00,0.00,7.00,1431.00
Boston,14,1,1361.00,109.00,8.00,5.00,4.00,0.00,11.00,1498.00
Boston,14,2,1479.00,104.00,3.00,5.00,4.00,0.00,10.00,1605.00
Boston,14,3,715.00,44.00,5.00,3.00,1.00,0.00,7.00,775.00
Boston,14,4,829.00,59.00,5.00,5.00,5.00,0.00,0.00,903.00
Boston,14,5,702.00,23.00,2.00,1.00,2.00,0.00,2.00,732.00
Boston,14,6,649.00,50.00,3.00,5.00,3.00,0.00,0.00,710.00
Boston,14,7,657.00,47.00,5.00,2.00,1.00,0.00,1.00,713.00
Boston,14,8,797.00,33.00,7.00,5.00,3.00,0.00,2.00,847.00
Boston,14,9,739.00,48.00,1.00,5.00,4.00,0.00,6.00,803.00
Boston,14,10,816.00,71.00,2.00,2.00,2.00,0.00,1.00,894.00
Boston,14,11,772.00,43.00,4.00,3.00,3.00,0.00,8.00,833.00
Boston,14,12,450.00,19.00,2.00,6.00,2.00,0.00,2.00,481.00
Boston,14,13,640.00,31.00,4.00,5.00,0.00,0.00,5.00,685.00
Boston,14,14,773.00,28.00,4.00,1.00,2.00,0.00,2.00,810.00
Boston,15,1,908.00,78.00,4.00,1.00,3.00,0.00,4.00,998.00
Boston,15,2,618.00,47.00,1.00,3.00,0.00,0.00,7.00,676.00
Boston,15,3,363.00,45.00,4.00,1.00,0.00,0.00,1.00,414.00
Boston,15,4,1029.00,205.00,7.00,5.00,8.00,0.00,10.00,1264.00
Boston,15,5,754.00,76.00,7.00,2.00,2.00,0.00,3.00,844.00
Boston,15,6,315.00,221.00,2.00,5.00,2.00,0.00,3.00,548.00
Boston,15,7,615.00,57.00,4.00,3.00,1.00,0.00,3.00,683.00
Boston,15,8,482.00,171.00,5.00,1.00,2.00,0.00,4.00,665.00
Boston,15,9,499.00,153.00,5.00,5.00,2.00,0.00,2.00,666.00
Boston,16,1,556.00,218.00,6.00,1.00,4.00,0.00,6.00,791.00
Boston,16,2,479.00,213.00,12.00,4.00,7.00,0.00,2.00,717.00
Boston,16,3,800.00,211.00,7.00,7.00,3.00,0.00,3.00,1031.00
Boston,16,4,752.00,200.00,8.00,0.00,3.00,0.00,5.00,968.00
Boston,16,5,788.00,255.00,5.00,3.00,3.00,0.00,5.00,1059.00
Boston,16,6,1021.00,297.00,9.00,11.00,9.00,0.00,11.00,1358.00
Boston,16,7,647.00,329.00,12.00,7.00,11.00,0.00,4.00,1010.00
Boston,16,8,828.00,290.00,14.00,7.00,9.00,0.00,8.00,1156.00
Boston,16,9,698.00,512.00,16.00,3.00,6.00,0.00,8.00,1243.00
Boston,16,10,657.00,397.00,14.00,7.00,7.00,0.00,7.00,1089.00
Boston,16,11,761.00,364.00,9.00,6.00,5.00,0.00,6.00,1151.00
