actor,action,count(case_action_id)
Petitioner,"Petition for Appointment of Tr",25
Petitioner,"Petition for Formal Probate",306
Petitioner,"Petition for Informal Probate",350
Petitioner,"Petition for Order of Complete",144
Petitioner,"Petition for Probate of Foreig",6
Petitioner,"Petition for Probate of Will a",131
Petitioner,"Petition for Removal of Person",9
Petitioner,"Petition for Sale of Real Esta",94
Petitioner,"Petition for Special Administr",30
Petitioner,"Statement of Voluntary Adminis",459
Petitioner,"UCC filed",8
Plaintiff,"Acknowledgement of service",18
Plaintiff,"Affidavit filed",13279
Plaintiff,"Affidavit in support of motion",15750
Plaintiff,"Agreement for Judgment",2764
Plaintiff,"Amended Answer filed",3
Plaintiff,"Answer filed",6603
Plaintiff,"Answer to counterclaim filed",1368
Plaintiff,"Appearance filed",1144935
Plaintiff,"Application filed",507792
Plaintiff,"Bankruptcy stay of proceedings",1
Plaintiff,Capias,6
Plaintiff,"Capias expired",10
Plaintiff,"Capias returned unserved",8
Plaintiff,"Case inactivated",14
Plaintiff,"Case management conference",3
Plaintiff,"Certificate of Death filed",1
Plaintiff,"Change of address",406
Plaintiff,"Complaint filed",721888
Plaintiff,Continuance,2390
Plaintiff,"Corporate disclosure statement",100199
Plaintiff,"Counsel added",475352
Plaintiff,"Counsel withdrawal",23383
Plaintiff,"Counterclaim filed",724
Plaintiff,"Debtor before the court",9
Plaintiff,Default,421
Plaintiff,"Demand for Jury Trial",34881
Plaintiff,"Deposit in Court",3
Plaintiff,Dismissal,41744
Plaintiff,"Entry of Action filed",851
Plaintiff,"Event cancelled",643
Plaintiff,"Event resulted",700
Plaintiff,"Event scheduled",424
Plaintiff,Execution,9
Plaintiff,"Execution satisfied",13
Plaintiff,"Execution unsatisfied",7
Plaintiff,"Fee due",563011
Plaintiff,"Fee paid",907282
Plaintiff,Hearing,2
Plaintiff,"Interpreter requested",3
Plaintiff,Judgment,690
Plaintiff,"Judgment debtor unable to pay",2
Plaintiff,"Judgment vacated",90
Plaintiff,"Memorandum filed",30495
Plaintiff,"Military affidavit filed",115302
Plaintiff,"Misc Notes",33
Plaintiff,"Motion allowed",2923
Plaintiff,"Motion denied",409
Plaintiff,"Motion for continuance",1841
Plaintiff,"Motion for default judgment",275595
Plaintiff,"Motion for exemption from time",48
Plaintiff,"Motion for final judgment for ",4
Plaintiff,"Motion for judgment on the ple",3302
Plaintiff,"Motion for minor settlement",13
Plaintiff,"Motion for new capias",8846
Plaintiff,"Motion for successive service ",10222
Plaintiff,"Motion for summary judgment",4341
Plaintiff,"Motion to amend judgment",371
Plaintiff,"Motion to amend judgment and e",4
Plaintiff,"Motion to appoint special proc",4657
Plaintiff,"Motion to approve transfer of ",1
Plaintiff,"Motion to assess attorney fees",1757
Plaintiff,"Motion to assess damages",12581
Plaintiff,"Motion to attach by trustee pr",25599
Plaintiff,"Motion to compel discovery",3682
Plaintiff,"Motion to dismiss counterclaim",194
Plaintiff,"Motion to inspect records",1
Plaintiff,"Motion to issue execution",36268
Plaintiff,"Motion to remove default",1708
Plaintiff,"Motion to serve trustee summon",195
Plaintiff,"Motion to strike answer",260
Plaintiff,"Motion to Substitute a Party",699
Plaintiff,"Motion to transfer",5443
Plaintiff,"Motion to vacate dismissal",8060
Plaintiff,"Motion to vacate judgment",3514
Plaintiff,"Motion withdrawn",494
Plaintiff,"Notice of appeal",95
Plaintiff,"Notice of dismissal",137978
Plaintiff,"Notice of dismissal filed",115111
Plaintiff,"Notice of intent to offer medi",57
Plaintiff,"Notice of potential dismissal",1
Plaintiff,"Notice of trial",1
Plaintiff,"Notice sent",19
Plaintiff,"Opposition to motion",1784
Plaintiff,"Original note filed",1047
Plaintiff,"Payment order",45
Plaintiff,"Payment review",1
Plaintiff,"Pre-Trial conference",10
Plaintiff,"Pre-Trial Memorandum",527
Plaintiff,"Request for admissions filed",9931
Plaintiff,"Request for continuance",11460
Plaintiff,"Request for Temporary Restrain",2
Plaintiff,"Request to not dismiss",72
Plaintiff,"Return of Service",91451
Plaintiff,"Satisfaction of judgment",80421
Plaintiff,"Settlement agreement",5
Plaintiff,"Statement of damages filed",306676
Plaintiff,"Statement of small claim filed",558194
Plaintiff,"Status Review",1
Plaintiff,"Suggestion of bankruptcy filed",362
Plaintiff,"Suggestion of death filed",4
Plaintiff,"Summary Process Summons and Co",678
Plaintiff,Summons,119
Plaintiff,"Termination notice filed",15178
Plaintiff,"Third-party cross-claim filed",34
Plaintiff,"UCC filed",323415
Plaintiff,"Under Advisement",3
Plaintiff,"Verification of Defendant's Ad",82290
Plaintiff,"Waiver of Attorneys Fees filed",180
Plaintiff,"Waiver of Award of Pre-Judgmen",766
Plaintiff,"Waiver of jury trial",33
Plaintiff,"Witness list filed",110
Plaintiff-Intervenor,"Affidavit filed",5
Plaintiff-Intervenor,"Affidavit in support of motion",2
Plaintiff-Intervenor,"Complaint filed",63
Plaintiff-Intervenor,"Counsel added",4
Plaintiff-Intervenor,"Demand for Jury Trial",1
Plaintiff-Intervenor,"Motion allowed",3
Plaintiff-Intervenor,"Motion denied",3
Plaintiff-Intervenor,"Motion for default judgment",2
Plaintiff-Intervenor,"Motion for summary judgment",3
Plaintiff-Intervenor,"Opposition to motion",1
"Proposed Fiduciary","Affidavit filed",2
"Proposed Fiduciary","Appointment of agent filed",40
"Proposed Fiduciary","Bond with sureties filed",6
"Proposed Fiduciary","Bond without sureties filed",97
"Proposed Fiduciary","Certificate of Death filed",37691
"Proposed Fiduciary","Copy of will filed",308
"Proposed Fiduciary","Decree and Order of Formal Pro",440
"Proposed Fiduciary","Military affidavit filed",115
"Proposed Fiduciary","Motion allowed",2
"Proposed Fiduciary","Motion to accept copy of will",4
"Proposed Fiduciary","Motion to amend Voluntary Admi",22
"Proposed Fiduciary","Petition for Administration",1064
"Proposed Fiduciary","Petition for Allowance of Acco",27
"Proposed Fiduciary","Petition for Appointment of Tr",231
"Proposed Fiduciary","Petition for Formal Probate",299
"Proposed Fiduciary","Petition for Informal Probate",266
"Proposed Fiduciary","Petition for Order of Complete",224
"Proposed Fiduciary","Petition for Probate of Foreig",79
"Proposed Fiduciary","Petition for Probate of Will a",2539
"Proposed Fiduciary","Petition for Removal of Person",2
"Proposed Fiduciary","Petition for Sale of Real Esta",200
"Proposed Fiduciary","Petition for Special Administr",84
"Proposed Fiduciary","Statement of Voluntary Adminis",6721
"Proposed Fiduciary","UCC filed",9
"Proposed Property Owner","Affidavit in support of motion",2
"Proposed Property Owner","Appearance filed",1
"Proposed Property Owner","Counsel added",13
Prosecutor,"Affidavit filed",95
Prosecutor,"Affidavit in support of motion",133
Prosecutor,"Answer filed",1
Prosecutor,"Appearance filed",1
Prosecutor,"Complaint filed",1
Prosecutor,"Counsel added",399
Prosecutor,"Counsel withdrawal",1
Prosecutor,"Event scheduled",11
Prosecutor,"Motion allowed",205
Prosecutor,"Motion denied",12
Prosecutor,"Motion to remove default",5
Prosecutor,"Pre-Trial Memorandum",3
Prosecutor,Summons,30
"Reach & Apply Defendant","Acknowledgement of service",1
"Reach & Apply Defendant","Affidavit filed",2
"Reach & Apply Defendant","Affidavit in support of motion",7
"Reach & Apply Defendant","Agreement for Judgment",2
"Reach & Apply Defendant","Answer filed",42
"Reach & Apply Defendant","Appearance filed",1
"Reach & Apply Defendant","Complaint filed",9
"Reach & Apply Defendant","Corporate disclosure statement",2
"Reach & Apply Defendant","Counsel added",111
"Reach & Apply Defendant",Default,5
"Reach & Apply Defendant","Motion allowed",1
"Reach & Apply Defendant","Motion denied",4
"Reach & Apply Defendant","Motion for summary judgment",16
"Reach & Apply Defendant","Motion to strike answer",3
"Reach & Apply Defendant","Opposition to motion",1
"Reach & Apply Defendant","Suggestion of bankruptcy filed",1
Receiver,"Affidavit filed",1
Receiver,"Agreement for Judgment",1
Receiver,"Answer filed",2
Receiver,"Complaint filed",1
Receiver,"Counsel withdrawal",1
Receiver,"Event resulted",1
Receiver,"Motion allowed",8
Receiver,"Motion to Substitute a Party",1
Receiver,"Motion to vacate dismissal",1
Receiver,"Return of Service",1
Respondent,"Counsel added",14
"Special Personal Representativ","Bond without sureties filed",2
"Special Personal Representativ","Certificate of Death filed",193
"Special Personal Representativ","Copy of will filed",3
"Special Personal Representativ","Decree and Order of Formal Pro",149
"Special Personal Representativ","Military affidavit filed",3
"Special Personal Representativ","Petition for Administration",2
"Special Personal Representativ","Petition for Allowance of Acco",3
"Special Personal Representativ","Petition for Formal Probate",48
"Special Personal Representativ","Petition for Informal Probate",2
"Special Personal Representativ","Petition for Order of Complete",11
"Special Personal Representativ","Petition for Probate of Will a",1
"Special Personal Representativ","Petition for Sale of Real Esta",14
"Special Personal Representativ","Petition for Special Administr",3
Subject,"Counsel added",4
Subject/Respondent,"Affidavit filed",2
"Tenancy Preservation Program","Answer filed",1
"Tenancy Preservation Program","Complaint filed",1
"Tenancy Preservation Program","Motion allowed",1
"Tenancy Preservation Program","Motion to remove default",1
"Third Party Defendant","Affidavit filed",1
"Third Party Defendant","Answer filed",8
"Third Party Defendant","Complaint filed",3
"Third Party Defendant","Motion to remove default",2
"Third Party Defendant","Suggestion of bankruptcy filed",1
Trustee,"Affidavit filed",111
Trustee,"Affidavit in support of motion",64
Trustee,"Agreement for Judgment",1
Trustee,"Answer filed",7410
Trustee,"Answer to counterclaim filed",1
Trustee,"Appearance filed",85
Trustee,"Appointment of agent filed",1
Trustee,"Bond without sureties filed",9
Trustee,"Certificate of Death filed",166
Trustee,"Complaint filed",1
Trustee,"Copy of will filed",3
Trustee,"Corporate disclosure statement",2169
Trustee,"Counsel added",66
Trustee,"Counsel withdrawal",1
Trustee,"Counterclaim filed",1
Trustee,"Decree and Order of Formal Pro",74
Trustee,"Demand for Jury Trial",1
Trustee,Dismissal,92
Trustee,"Event resulted",5
Trustee,"Event scheduled",10
Trustee,"Memorandum filed",14
Trustee,"Military affidavit filed",10
Trustee,"Motion allowed",13
Trustee,"Motion for default judgment",55
Trustee,"Motion for successive service ",63
Trustee,"Motion for summary judgment",5
Trustee,"Motion to appoint special proc",17
Trustee,"Motion to assess damages",3
Trustee,"Motion to attach by trustee pr",224
Trustee,"Motion to compel discovery",6
Trustee,"Motion to issue execution",4
Trustee,"Motion to remove default",19
Trustee,"Motion to Substitute a Party",1
Trustee,"Motion to vacate dismissal",5
Trustee,"Motion to vacate judgment",15
Trustee,"Motion withdrawn",3
Trustee,"Notice of dismissal",1
Trustee,"Opposition to motion",7
Trustee,"Original note filed",5
Trustee,"Petition for Administration",2
Trustee,"Petition for Allowance of Acco",28
Trustee,"Petition for Appointment of Tr",215
Trustee,"Petition for Formal Probate",35
Trustee,"Petition for Informal Probate",29
Trustee,"Petition for Order of Complete",26
Trustee,"Petition for Probate of Will a",11
Trustee,"Petition for Sale of Real Esta",5
Trustee,"Suggestion of bankruptcy filed",2
Trustee,"UCC filed",101
"Trustee Defendant","Affidavit filed",6
"Trustee Defendant","Affidavit in support of motion",6
"Trustee Defendant","Agreement for Judgment",1
"Trustee Defendant","Answer filed",41
"Trustee Defendant","Complaint filed",4
"Trustee Defendant","Counsel added",80
"Trustee Defendant",Default,3
"Trustee Defendant",Dismissal,1
"Trustee Defendant","Event scheduled",1
"Trustee Defendant","Motion allowed",1
"Trustee Defendant","Motion denied",2
"Trustee Defendant","Motion for summary judgment",5
"Trustee Defendant",Summons,1
