,name,type,address,zip,lat,lon
100,Grove Natural Foods,grocery,20 Logan Airport,2128.0,42.377292,-71.032514
101,Happy Superette,grocery,122 Seaver St,2121.0,42.309918,-71.09152
102,Hermanos Unidos,grocery,728 Dudley St,2125.0,42.317992,-71.067192
103,Hillside Spa Cardoza Brothers,grocery,26 Hancock St,2125.0,42.314757,-71.065781
104,Huntington Market,grocery,1795 Commonwealth Ave,2135.0,42.340708,-71.151637
105,Hyde Park Market,grocery,853 River St,2136.0,42.262733,-71.108344
106,I J Convenience Store,grocery,604 Hyde Park Ave,2131.0,42.279946,-71.118805
107,International Convenience,grocery,1325 Dorchester Ave,2122.0,42.305313,-71.0595
108,J & C Convenience Food Store,grocery,1147 Commonwealth Ave,2134.0,42.350746,-71.12755
109,J & G's Market,grocery,274 Hyde Park Ave,2130.0,42.292008,-71.11771
110,J & J Convenience Store,grocery,11 Meridian St,2128.0,42.370551,-71.038751
111,J & J Discount Mini Mart,grocery,131 W Broadway,2127.0,42.340791,-71.054339
112,J K Market II,grocery,232 Sumner St,2128.0,42.368539,-71.038891
113,J P Variety Store,grocery,162 South St,2130.0,42.304068,-71.114419
114,J Trip Karaoke Lounge,grocery,189 State St,2109.0,42.359144,-71.05271
115,Jaqueln Grocery Store,grocery,129 London St,2128.0,42.37347,-71.03876
116,Jen's Place,grocery,10 Park Plz,2116.0,42.351028,-71.069461
117,Johnny's Market II,grocery,51 Trenton St,2128.0,42.378353,-71.037662
118,K & G 1 Stop,grocery,25 Sudbury St 1st F L,2201.0,42.361095,-71.057675
119,K & G1 Stop,grocery,25 New Sudbury St,2203.0,42.361392,-71.059249
120,KABA African Market,grocery,29 Roxbury St,2119.0,42.329618,-71.085056
121,Karen Food Market,grocery,41 Bennington St,2128.0,42.375359,-71.037315
122,KOOL Stop Convenience,grocery,487 Washington St,2124.0,42.294632,-71.072048
123,LA Casa Alegre Inc,grocery,1989 Columbus Ave # 1,2119.0,42.314843,-71.097545
124,LA Esperanza Market,grocery,238 Meridian St,2128.0,42.375813,-71.039175
125,LA Plazita,grocery,3 Blue Hill Ave,2119.0,42.325068,-71.075234
126,LA Poula Conveniences,grocery,1330 Blue Hill Ave,2126.0,42.278325,-71.09324
127,Lasker's Variety,grocery,67 Appleton St,2116.0,42.345835,-71.072681
128,Lee's 1 Market,grocery,1383 Commonwealth Ave,2134.0,42.348675,-71.137522
129,Lee's Store Inc,grocery,982 Dorchester Ave,2125.0,42.317204,-71.056652
130,Li'l Peach,grocery,1151 Washington St,2124.0,42.272351,-71.069079
131,Liriano Grocery,grocery,1503 River St,2136.0,42.250454,-71.131059
132,Liriano Market,grocery,64 Blue Hill Ave # A,2119.0,42.32288,-71.076421
133,Los Paisanos Market LLC,grocery,11 Meridian St,2128.0,42.370551,-71.038751
134,Luis Market,grocery,517 Warren St,2121.0,42.313587,-71.08372
135,M & R,grocery,718 Shawmut Ave,2119.0,42.333006,-71.083012
136,Madina Market-Allston,grocery,72 Brighton Ave,2134.0,42.352414,-71.128819
137,Mario Market,grocery,51 Cottage St,2128.0,42.367108,-71.035677
138,Market Maywood,grocery,249 Blue Hill Ave,2119.0,42.315759,-71.078308
139,Mass Food Market,grocery,603 Massachusetts Ave,2118.0,42.337117,-71.078145
140,Mass Food Mart,grocery,1732 Dorchester Ave,2124.0,42.291172,-71.062727
141,Matos Market,grocery,140 Norfolk St,2124.0,42.287789,-71.077814
142,Medina's Market Inc,grocery,611 Tremont St,2118.0,42.342887,-71.0741
143,Midnight Munchies,grocery,41 Hunnewell Ave,2135.0,42.353114,-71.170995
144,Mika Enterprise Inc,grocery,112 Savin Hill Ave,2125.0,42.311583,-71.05331
145,Monica's Mercato,grocery,130 Salem St # 1,2113.0,42.365094,-71.055592
146,N & M Market,grocery,2359 Washington St,2119.0,42.329477,-71.084873
147,Naidely's Market Inc,grocery,367 Blue Hill Ave,2121.0,42.311899,-71.080988
148,Nas Convenience Inc,grocery,88 Bailey St # 3,2124.0,42.284977,-71.065012
149,Neighborhood Variety,grocery,63 Poplar St,2131.0,42.285481,-71.128908
150,Neponset Convenience Store,grocery,165 Neponset Ave,2122.0,42.293033,-71.050906
151,Neponset Food Mart,grocery,165 Neponset Ave,2122.0,42.293033,-71.050906
152,Night Star Convenience,grocery,63 Harvard Ave,2134.0,42.354058,-71.132411
153,Noora Convenience,grocery,530 River St,2126.0,42.267136,-71.094493
154,Nunez Mini Mart,grocery,305 Dudley St,2119.0,42.327742,-71.077544
155,Olevo Market,grocery,154 Geneva Ave,2121.0,42.305502,-71.077172
156,Oli's Market,grocery,401 Saratoga St,2128.0,42.379102,-71.029539
157,One Stop Convenience,grocery,664 Tremont St # 1,2118.0,42.341362,-71.075795
158,One Stop Mama Shop,grocery,102 South St # 5,2111.0,42.351058,-71.057122
159,Our Neighborhood Mini Mart,grocery,482 Washington St,2124.0,42.294743,-71.071939
160,Our Neighborhood Variety,grocery,185 Howard Ave,2125.0,42.313978,-71.075473
161,Our Neighborhood Variety Store,grocery,140 Harvard St # 1,2124.0,42.296209,-71.080574
162,P & A Convenience Market Inc,grocery,469 Columbus Ave,2116.0,42.343304,-71.078526
163,Pantry,grocery,39 Dalton St,2199.0,42.346573,-71.083844
164,Papi's Convenient Store,grocery,142 Bowdoin St,2122.0,42.303764,-71.070989
165,Park N Go,grocery,613 Park St,2124.0,42.294469,-71.078055
166,Penas Market,grocery,1055 Tremont St,2120.0,42.334948,-71.094875
167,Perez Severiano,grocery,207 Boylston St,2130.0,42.313928,-71.10116
168,"Petite, Caille",grocery,597 Washington St,2124.0,42.290532,-71.071691
169,Pierre's Variety Store,grocery,1156 River St,2136.0,42.25642,-71.12033
170,Planet Gracie-Ma,grocery,164 Blue Hill Ave,2119.0,42.318997,-71.077549
171,Plaza Meat Market,grocery,207 Boylston St,2130.0,42.313928,-71.10116
172,Pondside Express Mart Inc,grocery,626 Centre St,2130.0,42.313945,-71.113815
173,Poseidon Trident,grocery,20 Trident St,2128.0,42.385908,-71.010909
174,Primo's Convenience Store,grocery,24 Joy St,2114.0,42.35927,-71.065187
175,Priya Food Market,grocery,399 Saratoga St,2128.0,42.378975,-71.029615
176,Quality Mart,grocery,150 North Beacon St,2135.0,42.355252,-71.145767
177,Quick Mart,grocery,353 Chelsea St,2128.0,42.378276,-71.028734
178,Quick Mart Inc,grocery,75 Linden St,2134.0,42.352515,-71.130302
179,Roho Convenience Market All,grocery,479 Blue Hill Ave,2121.0,42.308637,-71.08323
180,Rosa Grocery,grocery,710 Washington St,2124.0,42.286662,-71.070898
181,Rosa's Convenience Store,grocery,696 Blue Hill Ave,2121.0,42.300277,-71.086053
182,Rosario Grocery,grocery,760 Washington St,2124.0,42.285016,-71.071251
183,Rosedale Grocery,grocery,547 Washington St,2124.0,42.292575,-71.071986
184,Route 97 Quik Pik Inc,grocery,1008 South St,2131.0,42.287487,-71.140524
185,Roxbury Halal,grocery,1433 Tremont St,2120.0,42.331735,-71.096539
186,Ruiz Market Boston,grocery,14 Breed St,2128.0,42.387188,-71.00681
187,S & A Convenience Store,grocery,37 Rosemont St,2122.0,42.292746,-71.055191
188,S K B's,grocery,156 Washington St,2121.0,42.30412,-71.078876
189,S K Convenience Stores,grocery,100 Huntington Ave,2116.0,42.347042,-71.077828
190,Salcedos Market,grocery,302 Norfolk St,2124.0,42.283408,-71.08301
191,Salem Convenience,grocery,96 Salem St,2113.0,42.363949,-71.055696
192,Savin Hill Convenience Inc,grocery,110 Savin Hill Ave,2125.0,42.311685,-71.053754
193,Seaport Convenience,grocery,451 D St,2210.0,42.345197,-71.04198
194,Select Market,grocery,529 Washington St,2135.0,42.349164,-71.162883
195,Serve You Well Mini Mart,grocery,259 Talbot Ave,2124.0,42.291111,-71.075822
196,Sheba Market,grocery,66 Pleasant Hill Ave,2126.0,42.276053,-71.071838
197,Shoebox Smokers Club Cnvnnc,grocery,449 Washington St,2111.0,42.355329,-71.060983
198,Shop MFI Market,grocery,170 Salem St # 4,2113.0,42.366231,-71.054967
199,Small Change,grocery,525 Columbia Rd,2125.0,42.315414,-71.066527
200,Snack N' Play,grocery,19 Staniford St,2114.0,42.362201,-71.063744
201,Snack Shack Etc,grocery,180 Hyde Park Ave,2130.0,42.29474,-71.116732
202,Speedy Market,grocery,4899 Washington St,2132.0,42.269371,-71.14834
203,Step N Out Mart,grocery,609 Walk Hill St,2126.0,42.280932,-71.097852
204,Store 24,grocery,281 Huntington Ave # B,2115.0,42.341988,-71.086462
205,Sulgrave News,grocery,6 Milk St,2108.0,42.356861,-71.058376
206,Sullivan's Store,grocery,2 Cambridge St,2129.0,42.377869,-71.062477
207,Sumner Market Inc,grocery,345 Sumner St,2128.0,42.366838,-71.035499
208,T & E Mini Mart,grocery,161 Washington St,2121.0,42.303884,-71.078969
209,T & S Convenience Store,grocery,4 Brighton Ave,2134.0,42.351988,-71.125653
210,T J S Food Shop LTD,grocery,12 Elder St,2125.0,42.320155,-71.06328
211,Tedeschi Food Shops,grocery,126 Cambridge St,2114.0,42.361233,-71.065706
212,Tedeschi Food Shops,grocery,281 Huntington Ave,2115.0,42.341988,-71.086462
213,Tedeschi Food Shops,grocery,542 Commonwealth Ave,2215.0,42.348735,-71.096368
214,Tedeschi Food Shops,grocery,2235 Dorchester Ave,2124.0,42.273837,-71.067706
215,Tedeschi Food Shops,grocery,1239 River St,2136.0,42.256114,-71.123089
216,Tedeschi Food Shops,grocery,779 Centre St,2130.0,42.309787,-71.115601
217,Thompole Convenience Store,grocery,1330 Blue Hill Ave,2126.0,42.278325,-71.09324
218,Three D's,grocery,249 E St,2127.0,42.335803,-71.051554
219,Tienda San Antonio,grocery,257 Princeton St,2128.0,42.379571,-71.030009
220,To Logan Express Way Inc,grocery,5 Orient Express Way,2115.0,42.343597,-71.090024
221,Tobacco Treasurers,grocery,200 Seaport Blvd,2210.0,42.351773,-71.040336
222,Towne Convenience,grocery,40 Boylston St,2116.0,42.352158,-71.063861
223,Tropical Grocery Store,grocery,67 Hancock St,2125.0,42.313313,-71.065267
224,Two Brothers Market,grocery,51 Trenton St,2128.0,42.378353,-71.037662
225,Underground T,grocery,261 Tremont St,2116.0,42.350468,-71.065169
226,Upbeat Convenience,grocery,613 Park St,2124.0,42.294469,-71.078055
227,Value 2000,grocery,507 Washington St,2111.0,42.354284,-71.061827
228,Van Mini Market,grocery,109 Franklin St,2134.0,42.359776,-71.132964
229,Vange Variety,grocery,434 Blue Hill Ave,2121.0,42.309905,-71.082048
230,Venice Convenient Inc,grocery,38 Cooper St,2113.0,42.364388,-71.057125
231,Visham & Son,grocery,449 Washington St,2111.0,42.355329,-71.060983
232,Wag-A-Bag,grocery,70 Brookline Ave,2215.0,42.347237,-71.098414
233,Wan Convenience,grocery,172 Brighton Ave,2134.0,42.352947,-71.133012
234,Wells Market,grocery,1760 Dorchester Ave,2124.0,42.289883,-71.062966
235,West Seventh Mini Market,grocery,51 W 7th St,2127.0,42.337052,-71.055401
236,Woodrow Ave Market,grocery,67 Woodrow Ave,2124.0,42.287995,-71.080968
237,Your Convenient,grocery,62 Essex St # 74,2111.0,42.35179,-71.061176
238,Z & R Convenience Plus,grocery,59 Fairmount Ave,2136.0,42.255059,-71.120394
239,7-Eleven,grocery,10 Milk St,2108.0,42.356883,-71.057975
240,7-Eleven,grocery,117 Jersey St # 121,2215.0,42.342757,-71.09701
241,7-Eleven,grocery,200 Seaport Blvd # 3,2210.0,42.351773,-71.040336
242,7-Eleven,grocery,252 W Newton St # 1,2116.0,42.344733,-71.081216
243,7-Eleven,grocery,261 Dartmouth St,2116.0,42.350294,-71.077631
244,7-Eleven,grocery,3 Center Plz # 101a,2108.0,42.359073,-71.060123
245,7-Eleven,grocery,532 Commonwealth Ave,2215.0,42.348523,-71.096348
246,7-Eleven,grocery,55 Berkeley St,2116.0,42.346475,-71.070267
247,7-Eleven,grocery,70 E India Row,2110.0,42.358582,-71.050516
248,Campus Convenience,grocery,700 Albany St,2118.0,42.335484,-71.070214
249,City Convenience,grocery,130 Dartmouth St,2116.0,42.346393,-71.075844
250,Cumberland Farms,grocery,801 Massachusetts Ave,2118.0,42.333104,-71.073002
251,First Tennessee Capital Mrkts,grocery,99 Summer St,2110.0,42.353558,-71.05893
252,Golden Goose,grocery,179 Commercial St,2109.0,42.362813,-71.051821
253,Grove Natural Foods,grocery,300 Terminal C # 20,2128.0,42.366988,-71.017474
254,Irving Boston,grocery,500 Western Ave,2135.0,42.361535,-71.143948
255,Neptune Convenience & Liquor,grocery,3 Neptune Rd,2128.0,42.37845,-71.022851
256,Roxbury Mobil,grocery,85 Southampton St,2118.0,42.331916,-71.070384
257,Speedway,grocery,100 Brighton Ave,2134.0,42.35248,-71.129841
258,Speedway,grocery,219 Cambridge St,2134.0,42.358478,-71.126225
259,Speedway,grocery,151 Old Colony Ave,2127.0,42.334534,-71.05545
260,Speedway,grocery,874 Dorchester Ave,2125.0,42.321182,-71.056553
261,Speedway,grocery,123 Cambridge St,2129.0,42.382482,-71.080614
262,Speedway,grocery,710 Gallivan Blvd,2124.0,42.283857,-71.048056
263,Speedway,grocery,5315 Washington St,2132.0,42.258673,-71.161371
264,Sulgrave Inc,grocery,60 State St,2109.0,42.359266,-71.056434
265,Symphony Market II,grocery,291 Huntington Ave,2115.0,42.341663,-71.086449
266,Tedeschi Food Shops,grocery,122 Cambridge St,2114.0,42.361099,-71.063715
267,Tedeschi Food Shops,grocery,141 Massachusetts Ave,2115.0,42.346805,-71.087722
268,Tedeschi Food Shops,grocery,50 Staniford St,2114.0,42.36204,-71.063972
269,Tedeschi Food Shops,grocery,566 Dorchester Ave,2127.0,42.330301,-71.056746
270,Tedeschi Food Shops,grocery,1 1st Ave # 7,2129.0,42.372909,-71.057819
271,Tedeschi Food Shops,grocery,140 Main St,2129.0,42.374882,-71.064278
272,Tedeschi Food Shops,grocery,1580 Dorchester Ave,2122.0,42.296644,-71.06116
273,Tedeschi Food Shops,grocery,187 E Cottage St,2125.0,42.319908,-71.06121
274,Tedeschi Food Shops,grocery,695 Truman Hwy,2136.0,42.252457,-71.118958
275,660 Corp,grocery,775 Commonwealth Ave,2215.0,42.35051,-71.109657
276,7-Eleven,grocery,204 N Harvard St,2134.0,42.362799,-71.129789
277,7-Eleven,grocery,103 State St,2109.0,42.358962,-71.055102
278,7-Eleven,grocery,120 Byron St,2128.0,42.383945,-71.016262
279,7-Eleven,grocery,125 Tremont St,2108.0,42.356403,-71.061733
280,7-Eleven,grocery,1306 Washington St,2118.0,42.340851,-71.070838
281,7-Eleven,grocery,1747 Washington St,2118.0,42.336782,-71.077008
282,7-Eleven,grocery,250 Cambridge St # 3,2114.0,42.360888,-71.067475
283,7-Eleven,grocery,342 Hanover St,2113.0,42.364947,-71.053561
284,7-Eleven,grocery,464 Hanover St # 17,2113.0,42.367042,-71.052728
285,7-Eleven,grocery,473 W Broadway,2127.0,42.335531,-71.046079
286,7-Eleven,grocery,50 Summer St,2110.0,42.354672,-71.059025
287,7-Eleven,grocery,508 Park Dr,2215.0,42.34764,-71.105811
288,7-Eleven,grocery,673 E Broadway # 1,2127.0,42.335447,-71.037501
289,7-Eleven,grocery,722 Huntington Ave,2115.0,42.334138,-71.104339
290,7-Eleven,grocery,872 Commonwealth Ave,2215.0,42.3508,-71.114346
291,7-Eleven,grocery,91 Causeway St # 99,2114.0,42.364834,-71.062052
292,7-Eleven,grocery,2002 Beacon St,2135.0,42.336383,-71.150916
293,7-Eleven,grocery,584 Washington St,2135.0,42.350019,-71.165671
294,7-Eleven,grocery,730 William T Morrissey Blvd,2122.0,42.296438,-71.047776
295,7-Eleven,grocery,451 Centre St,2130.0,42.32034,-71.111467
296,7-Eleven,grocery,1436 Centre St # 38,2131.0,42.293354,-71.137177
297,7-Eleven,grocery,1710 Centre St,2132.0,42.286986,-71.148914
298,Alex Market III,grocery,2825 Washington St,2119.0,42.321289,-71.092735
299,Anthony Market,grocery,407 Meridian St,2128.0,42.380376,-71.038999
300,Boston Bottle,grocery,372 Commercial St,2109.0,42.360568,-71.053869
301,Bowdoin Food Corp,grocery,217 Bowdoin St,2122.0,42.305587,-71.067734
302,Budget Mart,grocery,229 Florence St,2131.0,42.285567,-71.120202
303,Cadexco,grocery,4197 Washington St,2131.0,42.287232,-71.127592
304,Calderon Market,grocery,152 Sumner St,2128.0,42.369615,-71.041029
305,Ccc's Cleveland Circle Cnvnc,grocery,358 Chestnut Hill Ave,2135.0,42.336775,-71.151389
306,Chansky Super Market,grocery,161 Sutherland Rd,2135.0,42.341334,-71.1468
307,City Convenience,grocery,23 Beacon St,2108.0,42.357979,-71.062564
308,City Convenience,grocery,541 Commonwealth Ave,2215.0,42.349216,-71.097042
309,City Convenience,grocery,86 Massachusetts Ave,2115.0,42.348733,-71.088118
310,City Mini Mart,grocery,226 Washington St,2108.0,42.358158,-71.057843
311,College Convenience,grocery,281 Huntington Ave,2115.0,42.341988,-71.086462
312,Convenient Corner,grocery,1688 Dorchester Ave,2122.0,42.292568,-71.06234
313,Costa's Convenience Store,grocery,184 Bremen St,2128.0,42.373091,-71.034307
314,Cumberland Farms,grocery,628 E 5th St,2127.0,42.334164,-71.0355
315,Cumberland Farms,grocery,148 Chestnut Hill Ave,2135.0,42.342044,-71.153812
316,D & D Convenience Store,grocery,734 Blue Hill Ave,2121.0,42.299755,-71.086236
317,D & R Supermarkets,grocery,180 Hyde Park Ave,2130.0,42.29474,-71.116732
318,E S Variety,grocery,3 Gladstone St,2128.0,42.389113,-70.999524
319,East Boston Variety,grocery,3 Gladstone St,2128.0,42.389113,-70.999524
320,El Chavo Mexican Products,grocery,4254 Washington St,2131.0,42.285549,-71.129007
321,El Tiburon Market,grocery,3145 Washington St,2130.0,42.314056,-71.100291
322,Five Corners Mini Mart,grocery,1246 Dorchester Ave,2125.0,42.307822,-71.057935
323,Gateway Newsstand,grocery,401 Park Dr # 203,2215.0,42.343754,-71.103148
324,Gonzalez Market,grocery,1178 Blue Hill Ave,2126.0,42.284027,-71.09121
325,Harbor Point Market,grocery,17 Harbor Point Blvd,2125.0,42.318662,-71.04353
326,Hemenway Variety,grocery,95 Westland Ave,2115.0,42.344042,-71.090138
327,Iraola Convenience Store,grocery,1112 Blue Hill Ave,2124.0,42.286285,-71.090385
328,Island Store,grocery,735 E 6th St,2127.0,42.333021,-71.031339
329,J & M Convenience Store,grocery,15 North Beacon St,2134.0,42.354139,-71.137764
330,J & W One Lewis Wharf,grocery,1 Lewis Wharf,2110.0,42.363723,-71.051033
331,Kiki's KWIK-Mart,grocery,236 Faneuil St,2135.0,42.352943,-71.159647
332,Kushtia Inc,grocery,1813 Washington St,2118.0,42.335839,-71.077901
333,Lee's Market,grocery,1585 Commonwealth Ave,2135.0,42.344056,-71.143096
334,Lili's Market,grocery,1286 Blue Hill Ave,2126.0,42.279839,-71.092576
335,Lynch's Everyday,grocery,626 Adams St,2122.0,42.288368,-71.055361
336,M B Convenience,grocery,1690 Commonwealth Ave,2135.0,42.341359,-71.146397
337,M R M Enterprises Inc,grocery,218 Bowdoin St,2122.0,42.30546,-71.068072
338,"Market, Charl Y",grocery,604 Weld St,2132.0,42.291438,-71.157871
339,Mini Central,grocery,140 Harvard St,2124.0,42.296209,-71.080574
340,Morton Mini Market Inc,grocery,761 Morton St,2126.0,42.283477,-71.089409
341,Mr Convenience Plus,grocery,646 Blue Hill Ave,2121.0,42.302159,-71.085417
342,Mutual Oil Co Inc,grocery,529 Geneva Ave,2122.0,42.298174,-71.062925
343,Neighborhood Convenience Str,grocery,994 Hyde Park Ave,2136.0,42.265548,-71.120747
344,Neptune Launderette,grocery,944 Bennington St,2128.0,42.386146,-71.009636
