INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
202046740,1107,,FRAUD - IMPERSONATION,D14,810,0,2019-12-24 11:00:00,2019,12,Tuesday,11,,BRENTWOOD ST,42.3603190176535,-71.1336551728371,"(42.3603190176535, -71.1336551728371)"
202045754,1102,,FRAUD - FALSE PRETENSE / SCHEME,E13,167,0,2019-11-01 19:20:00,2019,11,Friday,19,,SOUTH ST,42.3395419898301,-71.0694087696754,"(42.3395419898301, -71.0694087696754)"
202045244,1102,,FRAUD - FALSE PRETENSE / SCHEME,D14,778,0,2019-10-24 19:30:00,2019,10,Thursday,19,,BEACON ST,42.3490560003051,-71.1504984997502,"(42.3490560003051, -71.1504984997502)"
202044941,3207,,PROPERTY - FOUND,B2,289,0,2019-10-22 22:00:00,2019,10,Tuesday,22,,SCHROEDER PLZ,42.3336792181085,-71.0918775461846,"(42.3336792181085, -71.0918775461846)"
202044940,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,D14,454,0,2019-11-06 15:20:00,2019,11,Wednesday,15,,US-20,42.3490560003051,-71.1504984997502,"(42.3490560003051, -71.1504984997502)"
202044024,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,B2, ,0,2019-10-18 07:00:00,2019,10,Friday,7,,"TERRACE ST & ALLEGHANY ST
BOSTON  MA 02120
UNITED ",42.3296610191175,-71.0974750332152,"(42.3296610191175, -71.0974750332152)"
202042514,2647,,THREATS TO DO BODILY HARM,D4,355,0,2019-11-07 11:30:00,2019,11,Thursday,11,,WESTLAND AVE,42.2975553295965,-71.0597091024257,"(42.2975553295965, -71.0597091024257)"
202042043,3201,,PROPERTY - LOST/ MISSING,E18,465,0,2019-12-28 09:00:00,2019,12,Saturday,9,,BLAKE ST,42.2848257658049,-71.091373689388,"(42.2848257658049, -71.091373689388)"
202040386,1107,,FRAUD - IMPERSONATION,B3,465,0,2019-12-01 08:00:00,2019,12,Sunday,8,,SOUTHERN AVE,0,0,"(0, 0)"
202038810,1106,,FRAUD - CREDIT CARD / ATM FRAUD,D4,167,0,2019-12-19 09:00:00,2019,12,Thursday,9,,HARRISON AVE,42.3395419898301,-71.0694087696754,"(42.3395419898301, -71.0694087696754)"
202038296,2670,,HARASSMENT/ CRIMINAL HARASSMENT,C6,186,0,2019-12-01 00:00:00,2019,12,Sunday,0,,JAN KARSKI WAY,0,0,"(0, 0)"
202037170,619,,LARCENY ALL OTHERS,B3,428,0,2019-12-03 12:00:00,2019,12,Tuesday,12,,VERRILL ST,42.2816414568537,-71.0885149903178,"(42.2816414568537, -71.0885149903178)"
202037065,619,,LARCENY ALL OTHERS,E18,520,0,2019-12-20 12:03:00,2019,12,Friday,12,,OSCEOLA ST,42.2562159204022,-71.1240194732902,"(42.2562159204022, -71.1240194732902)"
202036730,1106,,FRAUD - CREDIT CARD / ATM FRAUD,C11,355,0,2019-12-16 00:00:00,2019,12,Monday,0,,BRENT ST,42.2975553295965,-71.0597091024257,"(42.2975553295965, -71.0597091024257)"
202036157,616,,LARCENY THEFT OF BICYCLE,E13,574,0,2019-10-15 00:00:00,2019,10,Tuesday,0,,WASHINGTON ST,42.3097185676727,-71.1042943178765,"(42.3097185676727, -71.1042943178765)"
202036027,1102,,FRAUD - FALSE PRETENSE / SCHEME,E13,289,0,2019-10-01 12:00:00,2019,10,Tuesday,12,,CENTRE ST,42.3336792181085,-71.0918775461846,"(42.3336792181085, -71.0918775461846)"
202035570,3801,,M/V ACCIDENT - OTHER,E5,691,0,2019-12-22 18:00:00,2019,12,Sunday,18,,CENTRE ST,42.2870935525911,-71.1482212837716,"(42.2870935525911, -71.1482212837716)"
202034527,3201,,PROPERTY - LOST/ MISSING,C11,355,0,2019-11-04 12:00:00,2019,11,Monday,12,,DICKENS ST,42.2975553295965,-71.0597091024257,"(42.2975553295965, -71.0597091024257)"
202034348,3115,,INVESTIGATE PERSON,E5,691,0,2019-11-01 13:45:00,2019,11,Friday,13,,VFW PKWY,42.2870935525911,-71.1482212837716,"(42.2870935525911, -71.1482212837716)"
202033621,3201,,PROPERTY - LOST/ MISSING,B3,465,0,2019-12-31 00:00:00,2019,12,Tuesday,0,,WESTMORE RD,0,0,"(0, 0)"
202032991,706,,AUTO THEFT - MOTORCYCLE / SCOOTER,C11,355,0,2019-12-20 00:00:00,2019,12,Friday,0,,NEPONSET AVE,42.2975553295965,-71.0597091024257,"(42.2975553295965, -71.0597091024257)"
202032280,1107,,FRAUD - IMPERSONATION,B3,465,0,2019-12-16 00:00:00,2019,12,Monday,0,,ELLINGTON ST,42.2848257658049,-71.091373689388,"(42.2848257658049, -71.091373689388)"
202031917,617,,LARCENY THEFT FROM BUILDING,C6,200,0,2019-12-11 00:00:00,2019,12,Wednesday,0,,E SEVENTH ST,42.3412875043904,-71.054679326494,"(42.3412875043904, -71.054679326494)"
202031913,1107,,FRAUD - IMPERSONATION,E18,523,0,2019-12-31 12:00:00,2019,12,Tuesday,12,,HYDE PARK AVE,42.2469052519792,-71.1282890400876,"(42.2469052519792, -71.1282890400876)"
202031863,3801,,M/V ACCIDENT - OTHER,D4,167,0,2019-11-19 11:11:00,2019,11,Tuesday,11,,"650 HARRISON AVE
BOSTON  MA 02118
UNITED STATES",42.3395419898301,-71.0694087696754,"(42.3395419898301, -71.0694087696754)"
202031657,1102,,FRAUD - FALSE PRETENSE / SCHEME,D4,167,0,2019-12-12 09:00:00,2019,12,Thursday,9,,HARRISON AVE,42.3395419898301,-71.0694087696754,"(42.3395419898301, -71.0694087696754)"
202031503,1402,,VANDALISM,C11,355,0,2019-11-01 08:00:00,2019,11,Friday,8,,DORCHESTER AVE,42.2975553295965,-71.0597091024257,"(42.2975553295965, -71.0597091024257)"
202030536,617,,LARCENY THEFT FROM BUILDING,D14,778,0,2019-11-21 13:19:00,2019,11,Thursday,13,,PARSONS ST,42.3490560003051,-71.1504984997502,"(42.3490560003051, -71.1504984997502)"
202029271,1106,,FRAUD - CREDIT CARD / ATM FRAUD,B2,264,0,2019-12-01 00:00:00,2019,12,Sunday,0,,JULIAN ST,42.3194074928758,-71.0756784193132,"(42.3194074928758, -71.0756784193132)"
202029003,616,,LARCENY THEFT OF BICYCLE,D4,167,0,2019-10-01 09:00:00,2019,10,Tuesday,9,,MINER ST,42.3395419898301,-71.0694087696754,"(42.3395419898301, -71.0694087696754)"
202028826,2647,,THREATS TO DO BODILY HARM,A1,77,0,2019-12-15 12:00:00,2019,12,Sunday,12,,SALEM ST,42.3618385665647,-71.0597648909416,"(42.3618385665647, -71.0597648909416)"
202028813,1201,,EMBEZZLEMENT,D4,167,0,2019-12-01 09:00:00,2019,12,Sunday,9,,DARTMOUTH ST,42.3395419898301,-71.0694087696754,"(42.3395419898301, -71.0694087696754)"
202028749,1106,,FRAUD - CREDIT CARD / ATM FRAUD,B2,289,0,2019-12-04 12:00:00,2019,12,Wednesday,12,,SCHROEDER PLZ,42.3336792181085,-71.0918775461846,"(42.3336792181085, -71.0918775461846)"
202027568,1102,,FRAUD - FALSE PRETENSE / SCHEME,B3,465,0,2019-11-01 08:00:00,2019,11,Friday,8,,MICHIGAN AVE,0,0,"(0, 0)"
202027407,619,,LARCENY ALL OTHERS,E13,574,0,2019-10-01 00:00:00,2019,10,Tuesday,0,,CAROLINA AVE,42.3097185676727,-71.1042943178765,"(42.3097185676727, -71.1042943178765)"
202027329,1102,,FRAUD - FALSE PRETENSE / SCHEME,B3,465,0,2019-10-07 21:58:00,2019,10,Monday,21,,KINGSDALE ST,42.2848257658049,-71.091373689388,"(42.2848257658049, -71.091373689388)"
202027002,616,,LARCENY THEFT OF BICYCLE,D4,167,0,2019-11-01 13:49:00,2019,11,Friday,13,,BOYLSTON ST,42.3395419898301,-71.0694087696754,"(42.3395419898301, -71.0694087696754)"
202025756,1102,,FRAUD - FALSE PRETENSE / SCHEME,D14,778,0,2019-10-24 00:00:00,2019,10,Thursday,0,,KILSYTH RD,42.3490560003051,-71.1504984997502,"(42.3490560003051, -71.1504984997502)"
202024627,1107,,FRAUD - IMPERSONATION,C11,355,0,2019-12-10 15:00:00,2019,12,Tuesday,15,,ADAMS ST,42.2975553295965,-71.0597091024257,"(42.2975553295965, -71.0597091024257)"
202024203,2914,,VAL - OPERATING W/O AUTHORIZATION LAWFUL,E5,691,0,2019-12-12 15:30:00,2019,12,Thursday,15,,"1708 CENTRE ST
WEST ROXBURY  MA 02132
UNITED STATE",42.2870935525911,-71.1482212837716,"(42.2870935525911, -71.1482212837716)"
202024052,1102,,FRAUD - FALSE PRETENSE / SCHEME,A1,77,0,2019-12-19 10:40:00,2019,12,Thursday,10,,JOY ST,42.3618385665647,-71.0597648909416,"(42.3618385665647, -71.0597648909416)"
202023916,520,,BURGLARY - RESIDENTIAL,D4,167,0,2019-10-09 12:00:00,2019,10,Wednesday,12,,COMMONWEALTH AVE,42.3395419898301,-71.0694087696754,"(42.3395419898301, -71.0694087696754)"
202023482,2670,,HARASSMENT/ CRIMINAL HARASSMENT,E18,484,0,2019-11-30 18:00:00,2019,11,Saturday,18,,RIVER ST,42.2634214112805,-71.1030607799546,"(42.2634214112805, -71.1030607799546)"
202023379,3501,,MISSING PERSON,C11,357,0,2019-12-26 12:00:00,2019,12,Thursday,12,,BLOOMFIELD ST,42.2991077706026,-71.0682957175076,"(42.2991077706026, -71.0682957175076)"
202023125,617,,LARCENY THEFT FROM BUILDING,D4,167,0,2019-11-15 09:00:00,2019,11,Friday,9,,BOYLSTON ST,42.3395419898301,-71.0694087696754,"(42.3395419898301, -71.0694087696754)"
202022751,617,,LARCENY THEFT FROM BUILDING,B2,297,0,2019-12-20 10:00:00,2019,12,Friday,10,,SAINT RICHARD ST,42.323189737203,-71.083563886731,"(42.323189737203, -71.083563886731)"
202022673,1201,,EMBEZZLEMENT,A7,12,0,2019-10-01 08:00:00,2019,10,Tuesday,8,,WILLIAM F MCCLELLAN HWY,42.3883184062864,-71.0160044888034,"(42.3883184062864, -71.0160044888034)"
202022584,617,,LARCENY THEFT FROM BUILDING,C6,200,0,2019-10-19 23:00:00,2019,10,Saturday,23,,NORTHERN AVE,42.3412875043904,-71.054679326494,"(42.3412875043904, -71.054679326494)"
202022458,1001,,FORGERY / COUNTERFEITING,B2,282,0,2019-11-14 17:23:00,2019,11,Thursday,17,,LINWOOD SQ,42.3286628355561,-71.0856340118355,"(42.3286628355561, -71.0856340118355)"
202022040,2670,,HARASSMENT/ CRIMINAL HARASSMENT,E18,520,0,2019-11-14 13:00:00,2019,11,Thursday,13,,MASSASOIT ST,42.2562159204022,-71.1240194732902,"(42.2562159204022, -71.1240194732902)"
202021799,3114,,INVESTIGATE PROPERTY,E5,563,0,2019-11-26 10:44:00,2019,11,Tuesday,10,,HARRISON ST,42.2886285653025,-71.1200215656783,"(42.2886285653025, -71.1200215656783)"
202021790,1107,,FRAUD - IMPERSONATION,E18,520,0,2019-11-22 00:00:00,2019,11,Friday,0,,SIERRA RD,42.2562159204022,-71.1240194732902,"(42.2562159204022, -71.1240194732902)"
202021542,1107,,FRAUD - IMPERSONATION,B3,574,0,2019-11-07 12:00:00,2019,11,Thursday,12,,ELLINGTON ST,42.3097185676727,-71.1042943178765,"(42.3097185676727, -71.1042943178765)"
202021523,3115,,INVESTIGATE PERSON,E13,658,0,2019-11-13 00:00:00,2019,11,Wednesday,0,,ALLANDALE ST,42.3013157068652,-71.1311676037277,"(42.3013157068652, -71.1311676037277)"
202021246,2670,,HARASSMENT/ CRIMINAL HARASSMENT,C6,177,0,2019-11-01 00:00:00,2019,11,Friday,0,,MASSACHUSETTS AVE,42.3277997606257,-71.0677100867743,"(42.3277997606257, -71.0677100867743)"
202021151,3201,,PROPERTY - LOST/ MISSING,B2,282,0,2019-10-07 00:00:00,2019,10,Monday,0,,DUNMORE ST,42.3286628355561,-71.0856340118355,"(42.3286628355561, -71.0856340118355)"
202020582,1102,,FRAUD - FALSE PRETENSE / SCHEME,B3,465,0,2019-10-21 09:00:00,2019,10,Monday,9,,HARVARD ST,42.2848257658049,-71.091373689388,"(42.2848257658049, -71.091373689388)"
202020160,617,,LARCENY THEFT FROM BUILDING,D4,167,0,2019-12-31 08:00:00,2019,12,Tuesday,8,,LENOX ST,42.3395419898301,-71.0694087696754,"(42.3395419898301, -71.0694087696754)"
202020148,724,,AUTO THEFT,B3,465,0,2019-12-31 23:30:00,2019,12,Tuesday,23,,"1165 BLUE HILL AVE
DORCHESTER  MA 02126
UNITED STA",42.2848257658049,-71.091373689388,"(42.2848257658049, -71.091373689388)"
202019287,1106,,FRAUD - CREDIT CARD / ATM FRAUD,A1,80,0,2019-12-26 00:00:00,2019,12,Thursday,0,,SALEM ST,42.3662117055491,-71.054847463144,"(42.3662117055491, -71.054847463144)"
202018423,3201,,PROPERTY - LOST/ MISSING,D4,691,0,2019-12-06 14:00:00,2019,12,Friday,14,,MARLBOROUGH ST,42.2870935525911,-71.1482212837716,"(42.2870935525911, -71.1482212837716)"
202018191,1106,,FRAUD - CREDIT CARD / ATM FRAUD,B3,355,0,2019-10-02 00:00:00,2019,10,Wednesday,0,,MENTON ST,42.2975553295965,-71.0597091024257,"(42.2975553295965, -71.0597091024257)"
202018163,3205,,M/V PLATES - LOST,E5,691,0,2019-10-08 12:00:00,2019,10,Tuesday,12,,BRYON RD,42.2870935525911,-71.1482212837716,"(42.2870935525911, -71.1482212837716)"
202017990,1107,,FRAUD - IMPERSONATION,B3,465,0,2019-10-05 12:30:00,2019,10,Saturday,12,,ASTORIA ST,0,0,"(0, 0)"
202017892,3201,,PROPERTY - LOST/ MISSING,B2,282,0,2019-11-01 00:01:00,2019,11,Friday,0,,WARREN ST,42.3286628355561,-71.0856340118355,"(42.3286628355561, -71.0856340118355)"
202017613,1106,,FRAUD - CREDIT CARD / ATM FRAUD,E5,691,0,2019-12-17 00:00:00,2019,12,Tuesday,0,,GEORGETOWNE PL,42.2870935525911,-71.1482212837716,"(42.2870935525911, -71.1482212837716)"
202017540,614,,LARCENY THEFT FROM MV - NON-ACCESSORY,E18,520,0,2019-11-27 14:00:00,2019,11,Wednesday,14,,TRUMAN PKWY,42.2562159204022,-71.1240194732902,"(42.2562159204022, -71.1240194732902)"
202017501,617,,LARCENY THEFT FROM BUILDING,C11,355,0,2019-12-27 00:00:00,2019,12,Friday,0,,CLARKSON ST,42.2975553295965,-71.0597091024257,"(42.2975553295965, -71.0597091024257)"
202017333,1107,,FRAUD - IMPERSONATION,B2,282,0,2019-12-07 00:00:00,2019,12,Saturday,0,,BLUE HILL AVE,42.3286628355561,-71.0856340118355,"(42.3286628355561, -71.0856340118355)"
202016450,1001,,FORGERY / COUNTERFEITING,D4,167,0,2019-11-30 00:00:00,2019,11,Saturday,0,,WASHINGTON ST,42.3395419898301,-71.0694087696754,"(42.3395419898301, -71.0694087696754)"
202016226,2914,,VAL - OPERATING W/O AUTHORIZATION LAWFUL,C11,355,0,2019-10-10 17:41:00,2019,10,Thursday,17,,LITHGOW ST,42.2975553295965,-71.0597091024257,"(42.2975553295965, -71.0597091024257)"
202016154,724,,AUTO THEFT,C6, ,0,2019-10-10 12:29:00,2019,10,Thursday,12,,WILLIAM T MORRISSEY BLVD,0,0,"(0, 0)"
202016101,2670,,HARASSMENT/ CRIMINAL HARASSMENT,C11,355,0,2019-10-26 00:00:00,2019,10,Saturday,0,,DORCHESTER AVE,42.2975553295965,-71.0597091024257,"(42.2975553295965, -71.0597091024257)"
202015922,1102,,FRAUD - FALSE PRETENSE / SCHEME,C11,355,0,2019-10-01 17:43:00,2019,10,Tuesday,17,,GINITA ST,42.2975553295965,-71.0597091024257,"(42.2975553295965, -71.0597091024257)"
202015619,3201,,PROPERTY - LOST/ MISSING,A7,28,0,2019-11-01 00:17:00,2019,11,Friday,0,,HAVRE ST,42.3708180467024,-71.0392907813515,"(42.3708180467024, -71.0392907813515)"
202015615,3201,,PROPERTY - LOST/ MISSING,D4,128,0,2019-12-23 23:00:00,2019,12,Monday,23,,COLUMBUS AVE,42.3483427022463,-71.0722253017926,"(42.3483427022463, -71.0722253017926)"
202015576,619,,LARCENY ALL OTHERS,A1,77,0,2019-10-24 00:00:00,2019,10,Thursday,0,,SCHOOL ST,42.3618385665647,-71.0597648909416,"(42.3618385665647, -71.0597648909416)"
202015570,617,,LARCENY THEFT FROM BUILDING,B3,465,0,2019-10-30 17:00:00,2019,10,Wednesday,17,,BLUE HILL AVE,42.2848257658049,-71.091373689388,"(42.2848257658049, -71.091373689388)"
202015566,724,,AUTO THEFT,C11,355,0,2019-12-11 16:59:00,2019,12,Wednesday,16,,FREEPORT ST,42.2975553295965,-71.0597091024257,"(42.2975553295965, -71.0597091024257)"
202015486,801,,ASSAULT - SIMPLE,E5,691,0,2019-11-10 10:00:00,2019,11,Sunday,10,,W BOUNDARY RD,42.2870935525911,-71.1482212837716,"(42.2870935525911, -71.1482212837716)"
