"Project Name:AEP1802E UT1 C Utility Simple FixProject Code:AEP1802E UT1 C",,,,,,,,,,
Construction Trade,Hours Worked,,,,,,,,,
"CraftLevel","TotalEmployee",Caucasian,"AfricanAmerican",Hispanic,Asian,"NativeAmerican",Other,"NotSpecified","TotalFemale","TotalMale"
Batallas Electric Inc.,,,,,,,,,,,
ELECTRICIAN,Journey,29.00,7.00,0.00,22.00,0.00,0.00,0.00,0.00,0.00,29.00
"",Apprentice,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",A/J Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",Subtotal,29.00,7.00,0.00,22.00,0.00,0.00,0.00,0.00,0.00,29.00
LABORER,Journey,43.00,43.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,43.00
"",Apprentice,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",A/J Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",Subtotal,43.00,43.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,43.00
Total for Contractor,Journey,72.00,50.00,0.00,22.00,0.00,0.00,0.00,0.00,,
"",,,,,,,,,,0.00,72.00
"",Apprentice,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",A/J Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",Subtotal,72.00,50.00,0.00,22.00,0.00,0.00,0.00,0.00,0.00,72.00
Rise Engineering,,,,,,,,,,,
GLAZIER,Journey,107.00,0.00,0.00,107.00,0.00,0.00,0.00,0.00,0.00,107.00
Apprentice,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
A/J Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Subtotal,107.00,0.00,0.00,107.00,0.00,0.00,0.00,0.00,0.00,107.00,
"Project Name:AEP1802E UT1 C Utility Simple FixProject Code:AEP1802E UT1 C",,,,,,,,,,
Construction Trade,Hours Worked,,,,,,,,,
"CraftLevel","TotalEmployee",Caucasian,"AfricanAmerican",Hispanic,Asian,"NativeAmerican",Other,"NotSpecified","TotalFemale","TotalMale"
INSULATOR (PIPES & TANKS),Journey,96.00,0.00,0.00,96.00,0.00,0.00,0.00,0.00,0.00,96.00
Apprentice,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
A/J Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Subtotal,96.00,0.00,0.00,96.00,0.00,0.00,0.00,0.00,0.00,96.00,
"JourneyApprenticeTotal for ContractorA/J RatioNew HireSubtotal",203.00,"0.000.00203.000.000.000.00","0.000.00203.00",,,,,,,,
"",,,,,,,,,0.00,203.00,
Apprentice,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
A/J Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Subtotal,203.00,0.00,0.00,203.00,0.00,0.00,0.00,0.00,0.00,203.00,
Total  Journey Hours,275.00,50.00,0.00,225.00,0.00,0.00,0.00,0.00,0.00,275.00,
Total Apprentice Hours,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total New Hire Hours,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Grand  Total Hours,275.00,50.00,0.00,225.00,0.00,0.00,0.00,0.00,0.00,275.00,
"JourneyApprenticeTotal for ContractorA/J RatioNew HireSubtotal"
Apprentice
A/J Ratio
New Hire
Subtotal
"JourneyApprenticeTotal for ContractorA/J RatioNew HireSubtotal"
Apprentice
A/J Ratio
New Hire
Subtotal
"Project Name:CHE1604 DC1 CM Construction Management Services Chelsea Soldiers' Home Comunity Living CenterProject Code:CHE1604 DC1 CM",,,,,,,,,,,,
Construction Trade,Hours Worked,,,,,,,,,,,
"","CraftLevel","TotalEmployee",Caucasian,"AfricanAmerican",Hispanic,Asian,"NativeAmerican",Other,"NotSpecified","TotalFemale","TotalMale",
"",Subtotal,225.00,225.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,225.00,
W.L. French Excavating Corp.,,,,,,,,,,,,
ADS/SUBMERSIBLE PILOT,Journey,165.50,165.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,165.50,
"",Apprentice,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"",A/J Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"",New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"",Subtotal,165.50,165.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,165.50,
BACKHOE/FRONT-END LOADER,Journey,667.00,635.00,32.00,0.00,0.00,0.00,0.00,0.00,0.00,667.00,
"",Apprentice,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"",A/J Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"",New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"",Subtotal,667.00,635.00,32.00,0.00,0.00,0.00,0.00,0.00,0.00,667.00,
LABORER,Journey,"1,329.00","1,329.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,329.00",
Apprentice,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
A/J Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Subtotal,"1,329.00","1,329.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,329.00",,
"JourneyApprenticeTotal for ContractorA/J RatioNew HireSubtotal"
Apprentice
A/J Ratio
New Hire
Subtotal
"Project Name:CHE1604 DC1 CM Construction Management Services Chelsea Soldiers' Home Comunity Living CenterProject Code:CHE1604 DC1 CM",,,,,,,,,,,,
Construction Trade,Hours Worked,,,,,,,,,,,
"","CraftLevel","TotalEmployee",Caucasian,"AfricanAmerican",Hispanic,Asian,"NativeAmerican",Other,"NotSpecified","TotalFemale","TotalMale",
"",,,,,,,,,,,,
Total for Contractor,Journey,"2,161.50","2,129.50",32.00,0.00,0.00,0.00,0.00,0.00,0.00,"2,161.50",
"",Apprentice,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"",A/J Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"",New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"",Subtotal,"2,161.50","2,129.50",32.00,0.00,0.00,0.00,0.00,0.00,0.00,"2,161.50",
"Wayne J. Griffin Electric, Inc.",,,,,,,,,,,,
ELECTRICIAN,Journey,98.50,89.50,9.00,0.00,0.00,0.00,0.00,0.00,0.00,98.50,
Apprentice,74.50,31.00,43.50,0.00,0.00,0.00,0.00,0.00,0.00,74.50,,
A/J Ratio,0.76,0.35,4.83,0.00,0.00,0.00,0.00,0.00,0.00,0.76,,
New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Subtotal,173.00,120.50,52.50,0.00,0.00,0.00,0.00,0.00,0.00,173.00,,
"JourneyApprenticeTotal for ContractorA/J RatioNew HireSubtotal",98.50,"89.509.000.000.000.000.00","0.000.0098.50",,,,,,,,,
"",,,,,,,,0.00,98.50,,,
Apprentice,74.50,31.00,43.50,0.00,0.00,0.00,0.00,0.00,0.00,74.50,,
A/J Ratio,0.76,0.35,4.83,0.00,0.00,0.00,0.00,0.00,0.00,0.76,,
New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Subtotal,173.00,120.50,52.50,0.00,0.00,0.00,0.00,0.00,0.00,173.00,,
Total  Journey Hours,"2,487.00","2,446.00",41.00,0.00,0.00,0.00,0.00,0.00,0.00,"2,487.00",,
Total Apprentice Hours,77.50,34.00,43.50,0.00,0.00,0.00,0.00,0.00,0.00,77.50,,
Total New Hire Hours,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Grand  Total Hours,"2,564.50","2,480.00",84.50,0.00,0.00,0.00,0.00,0.00,0.00,"2,564.50",,
"0.000.0098.50",
0.00,98.50
"Project Name:CME0902 DC1 C Chief Medical Examiner Office West Central CombinedProject Code:CME0902 DC1 CM",,,,,,,,,,
Construction Trade,Hours Worked,,,,,,,,,
"CraftLevel","TotalEmployee",Caucasian,"AfricanAmerican",Hispanic,Asian,"NativeAmerican",Other,"NotSpecified","TotalFemale","TotalMale"
"JourneyApprenticeTotal for ContractorA/J RatioNew HireSubtotal"
Apprentice
A/J Ratio
New Hire
Subtotal
"Adams Plumbing & Heating, Inc.",,,,,,,,,,,
PLUMBERS & GASFITTERS,Journey,13.00,13.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.00
"",Apprentice,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",A/J Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",Subtotal,13.00,13.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.00
"JourneyApprenticeTotal for ContractorA/J RatioNew HireSubtotal",13.00,"13.000.000.000.000.000.00","0.000.0013.00",,,,,,,,
"",,,,,,,,,,0.00,13.00
"",Apprentice,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",A/J Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",Subtotal,13.00,13.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.00
Ayotte and King for Tile Inc.,,,,,,,,,,,
FLOORCOVERER,Journey,62.00,62.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.00
"",Apprentice,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",A/J Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",Subtotal,62.00,62.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.00
"MARBLE MASONS, TILELAYERS &TERRAZZO MECH",Journey,2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00
Apprentice,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
A/J Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Subtotal,2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,
"JourneyApprenticeTotal for ContractorA/J RatioNew HireSubtotal",64.00,"64.000.000.000.000.000.00","0.000.0064.00",,,,,,,,
"",,,,,,,,,0.00,64.00,
Apprentice,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
A/J Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Subtotal,64.00,64.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64.00,
"Central Ceilings, Inc.",,,,,,,,,,,
"JourneyApprenticeTotal for ContractorA/J RatioNew HireSubtotal"
Apprentice
A/J Ratio
New Hire
Subtotal
"Project Name:CME0902 DC1 C Chief Medical Examiner Office West Central CombinedProject Code:CME0902 DC1 CM",,,,,,,,,,
Construction Trade,Hours Worked,,,,,,,,,
"CraftLevel","TotalEmployee",Caucasian,"AfricanAmerican",Hispanic,Asian,"NativeAmerican",Other,"NotSpecified","TotalFemale","TotalMale"
CARPENTER,Journey,8.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00
"",Apprentice,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",A/J Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",Subtotal,8.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00
"JourneyApprenticeTotal for ContractorA/J RatioNew HireSubtotal",8.00,"8.000.000.000.000.000.00","0.000.008.00",,,,,,,,
"",,,,,,,,,,0.00,8.00
"",Apprentice,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",A/J Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",Subtotal,8.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00
"Clearview Cleaning , Inc.",,,,,,,,,,,
LABORER,Journey,93.00,93.00,0.00,0.00,0.00,0.00,0.00,0.00,21.00,72.00
"",Apprentice,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",A/J Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",Subtotal,93.00,93.00,0.00,0.00,0.00,0.00,0.00,0.00,21.00,72.00
Total for Contractor,Journey,93.00,93.00,0.00,0.00,0.00,0.00,0.00,0.00,,
"",,,,,,,,,,21.00,72.00
"",Apprentice,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",A/J Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",Subtotal,93.00,93.00,0.00,0.00,0.00,0.00,0.00,0.00,21.00,72.00
"Cogswell Sprinkler Co., Inc.",,,,,,,,,,,
SPRINKLER FITTER,Journey,39.50,34.00,0.00,0.00,5.50,0.00,0.00,0.00,0.00,39.50
Apprentice,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
A/J Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Subtotal,39.50,34.00,0.00,0.00,5.50,0.00,0.00,0.00,0.00,39.50,
"JourneyApprenticeTotal for ContractorA/J RatioNew HireSubtotal"
Apprentice
A/J Ratio
New Hire
Subtotal
"Project Name:CME0902 DC1 C Chief Medical Examiner Office West Central CombinedProject Code:CME0902 DC1 CM",,,,,,,,,,
Construction Trade,Hours Worked,,,,,,,,,
"CraftLevel","TotalEmployee",Caucasian,"AfricanAmerican",Hispanic,Asian,"NativeAmerican",Other,"NotSpecified","TotalFemale","TotalMale"
Total for Contractor,Journey,39.50,34.00,0.00,0.00,5.50,0.00,0.00,0.00,0.00,39.50
"",Apprentice,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",A/J Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",Subtotal,39.50,34.00,0.00,0.00,5.50,0.00,0.00,0.00,0.00,39.50
Crestview Construction & Trucking Inc.,,,,,,,,,,,
BACKHOE/FRONT-END LOADER,Journey,15.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00
"",Apprentice,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",A/J Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",Subtotal,15.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00
DRIVER / GROUNDMAN CDL,Journey,2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00
"",Apprentice,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",A/J Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",Subtotal,2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00
LABORER,Journey,36.50,36.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.50
Apprentice,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
A/J Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Subtotal,36.50,36.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.50,
"JourneyApprenticeTotal for ContractorA/J RatioNew HireSubtotal",53.50,"53.500.000.000.000.000.00","0.000.0053.50",,,,,,,,
"",,,,,,,,,0.00,53.50,
Apprentice,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
A/J Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Subtotal,53.50,53.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,53.50,
"General Mechanical Contractors, Inc.",,,,,,,,,,,
