"Project Name:AEP1802E UT1 C Utility Simple FixProject Code:AEP1802E UT1 C",,,,,,,,,,
Construction Trade,Hours Worked,,,,,,,,,
"CraftLevel","TotalEmployee",Caucasian,"AfricanAmerican",Hispanic,Asian,"NativeAmerican",Other,"NotSpecified","TotalFemale","TotalMale"
Batallas Electric Inc.,,,,,,,,,,,
ELECTRICIAN,Journey,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
Apprentice,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
A/J Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Subtotal,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,
"JourneyApprenticeTotal for ContractorA/J RatioNew HireSubtotal",1.00,"1.000.000.000.000.000.00","0.000.001.00",,,,,,,,
"",,,,,,,,0.00,1.00,,
Apprentice,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
A/J Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Subtotal,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,
Total  Journey Hours,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,
Total Apprentice Hours,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total New Hire Hours,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Grand  Total Hours,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,
"JourneyApprenticeTotal for ContractorA/J RatioNew HireSubtotal"
Apprentice
A/J Ratio
New Hire
Subtotal
"JourneyApprenticeTotal for ContractorA/J RatioNew HireSubtotal"
Apprentice
A/J Ratio
New Hire
Subtotal
"Project Name:CHE1604 DC1 CM Construction Management Services Chelsea Soldiers' Home Comunity Living CenterProject Code:CHE1604 DC1 CM",,,,,,,,,,,,
Construction Trade,Hours Worked,,,,,,,,,,,
"","CraftLevel","TotalEmployee",Caucasian,"AfricanAmerican",Hispanic,Asian,"NativeAmerican",Other,"NotSpecified","TotalFemale","TotalMale",
LABORER,Journey,45.00,45.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45.00,
Apprentice,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
A/J Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Subtotal,45.00,45.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45.00,,
"0.000.004.00",
0.00,4.00
"Project Name:CHE1604 DC1 CM Construction Management Services Chelsea Soldiers' Home Comunity Living CenterProject Code:CHE1604 DC1 CM",,,,,,,,,,,,
Construction Trade,Hours Worked,,,,,,,,,,,
"","CraftLevel","TotalEmployee",Caucasian,"AfricanAmerican",Hispanic,Asian,"NativeAmerican",Other,"NotSpecified","TotalFemale","TotalMale",
"",,,,,,,,,,,,
PIPEFITTER & STEAMFITTER,Journey,9.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,
"",Apprentice,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"",A/J Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"",New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"",Subtotal,9.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,
PLUMBERS & GASFITTERS,Journey,126.00,126.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,126.00,
"",Apprentice,90.50,90.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90.50,
"",A/J Ratio,0.72,0.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.72,
"",New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"",Subtotal,216.50,216.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,216.50,
Total for Contractor,Journey,180.00,180.00,0.00,0.00,0.00,0.00,0.00,0.00,,,
"",,,,,,,,,0.00,180.00,,
"",Apprentice,90.50,90.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90.50,
"",A/J Ratio,0.50,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,
"",New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"",Subtotal,270.50,270.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,270.50,
W.L. French Excavating Corp.,,,,,,,,,,,,
ADS/SUBMERSIBLE PILOT,Journey,163.00,163.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,163.00,
"",Apprentice,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"",A/J Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"",New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"",Subtotal,163.00,163.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,163.00,
BACKHOE/FRONT-END LOADER,Journey,315.00,315.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,315.00,
"",Apprentice,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"",A/J Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"",New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"",Subtotal,315.00,315.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,315.00,
LABORER,Journey,919.00,844.00,75.00,0.00,0.00,0.00,0.00,0.00,0.00,919.00,
Apprentice,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
A/J Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Subtotal,919.00,844.00,75.00,0.00,0.00,0.00,0.00,0.00,0.00,919.00,,
"JourneyApprenticeTotal for ContractorA/J RatioNew HireSubtotal"
Apprentice
A/J Ratio
New Hire
Subtotal
"Project Name:CHE1604 DC1 CM Construction Management Services Chelsea Soldiers' Home Comunity Living CenterProject Code:CHE1604 DC1 CM",,,,,,,,,,,,
Construction Trade,Hours Worked,,,,,,,,,,,
"","CraftLevel","TotalEmployee",Caucasian,"AfricanAmerican",Hispanic,Asian,"NativeAmerican",Other,"NotSpecified","TotalFemale","TotalMale",
"",,,,,,,,,,,,
Total for Contractor,Journey,"1,397.00","1,322.00",75.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,397.00",
"",Apprentice,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"",A/J Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"",New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"",Subtotal,"1,397.00","1,322.00",75.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,397.00",
"Wayne J. Griffin Electric, Inc.",,,,,,,,,,,,
ELECTRICIAN,Journey,152.50,122.00,6.00,24.50,0.00,0.00,0.00,0.00,0.00,152.50,
Apprentice,124.50,24.00,100.50,0.00,0.00,0.00,0.00,0.00,0.00,124.50,,
A/J Ratio,0.82,0.20,16.75,0.00,0.00,0.00,0.00,0.00,0.00,0.82,,
New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Subtotal,277.00,146.00,106.50,24.50,0.00,0.00,0.00,0.00,0.00,277.00,,
"JourneyApprenticeTotal for ContractorA/J RatioNew HireSubtotal",152.50,"122.006.0024.500.000.000.00","0.000.00152.50",,,,,,,,,
"",,,,,,,,0.00,152.50,,,
Apprentice,124.50,24.00,100.50,0.00,0.00,0.00,0.00,0.00,0.00,124.50,,
A/J Ratio,0.82,0.20,16.75,0.00,0.00,0.00,0.00,0.00,0.00,0.82,,
New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Subtotal,277.00,146.00,106.50,24.50,0.00,0.00,0.00,0.00,0.00,277.00,,
Total  Journey Hours,"1,736.50","1,631.00",81.00,24.50,0.00,0.00,0.00,0.00,0.00,"1,736.50",,
Total Apprentice Hours,215.00,114.50,100.50,0.00,0.00,0.00,0.00,0.00,0.00,215.00,,
Total New Hire Hours,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Grand  Total Hours,"1,951.50","1,745.50",181.50,24.50,0.00,0.00,0.00,0.00,0.00,"1,951.50",,
"0.000.00152.50",
0.00,152.50
"Project Name:CME0902 DC1 C Chief Medical Examiner Office West Central CombinedProject Code:CME0902 DC1 CM",,,,,,,,,,
Construction Trade,Hours Worked,,,,,,,,,
"CraftLevel","TotalEmployee",Caucasian,"AfricanAmerican",Hispanic,Asian,"NativeAmerican",Other,"NotSpecified","TotalFemale","TotalMale"
"JourneyApprenticeTotal for ContractorA/J RatioNew HireSubtotal"
Apprentice
A/J Ratio
New Hire
Subtotal
"Adams Plumbing & Heating, Inc.",,,,,,,,,,,
PLUMBERS & GASFITTERS,Journey,40.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00
"",Apprentice,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",A/J Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",Subtotal,40.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00
"JourneyApprenticeTotal for ContractorA/J RatioNew HireSubtotal",40.00,"40.000.000.000.000.000.00","0.000.0040.00",,,,,,,,
"",,,,,,,,,,0.00,40.00
"",Apprentice,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",A/J Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",Subtotal,40.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00
"Avid Ironworks, Inc.",,,,,,,,,,,
IRONWORKER/WELDER,Journey,29.50,29.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.50
"",Apprentice,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",A/J Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",Subtotal,29.50,29.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.50
Total for Contractor,Journey,29.50,29.50,0.00,0.00,0.00,0.00,0.00,0.00,,
"",,,,,,,,,,0.00,29.50
"",Apprentice,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",A/J Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",Subtotal,29.50,29.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.50
Ayotte and King for Tile Inc.,,,,,,,,,,,
FLOORCOVERER,Journey,61.00,61.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,61.00
Apprentice,45.00,45.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45.00,
A/J Ratio,0.74,0.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.74,
New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Subtotal,106.00,106.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,106.00,
"Project Name:CME0902 DC1 C Chief Medical Examiner Office West Central CombinedProject Code:CME0902 DC1 CM",,,,,,,,,,
Construction Trade,Hours Worked,,,,,,,,,
"CraftLevel","TotalEmployee",Caucasian,"AfricanAmerican",Hispanic,Asian,"NativeAmerican",Other,"NotSpecified","TotalFemale","TotalMale"
Total for Contractor,Journey,61.00,61.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,61.00
"",Apprentice,45.00,45.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45.00
"",A/J Ratio,0.74,0.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.74
"",New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",Subtotal,106.00,106.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,106.00
Champagne Drywall Inc,,,,,,,,,,,
CARPENTER,Journey,68.00,0.00,0.00,68.00,0.00,0.00,0.00,0.00,0.00,68.00
"",Apprentice,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",A/J Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",Subtotal,68.00,0.00,0.00,68.00,0.00,0.00,0.00,0.00,0.00,68.00
"JourneyApprenticeTotal for ContractorA/J RatioNew HireSubtotal",68.00,"0.000.0068.000.000.000.00","0.000.0068.00",,,,,,,,
"",,,,,,,,,0.00,68.00,
"",Apprentice,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",A/J Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",Subtotal,68.00,0.00,0.00,68.00,0.00,0.00,0.00,0.00,0.00,68.00
"Cogswell Sprinkler Co., Inc.",,,,,,,,,,,
SPRINKLER FITTER,Journey,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
"",Apprentice,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",A/J Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",Subtotal,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
Total for Contractor,Journey,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,,
"",,,,,,,,0.00,1.00,,
Apprentice,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
A/J Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Subtotal,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,
Crestview Construction & Trucking Inc.,,,,,,,,,,,
"JourneyApprenticeTotal for ContractorA/J RatioNew HireSubtotal"
Apprentice
A/J Ratio
New Hire
Subtotal
"Project Name:CME0902 DC1 C Chief Medical Examiner Office West Central CombinedProject Code:CME0902 DC1 CM",,,,,,,,,,
Construction Trade,Hours Worked,,,,,,,,,
"CraftLevel","TotalEmployee",Caucasian,"AfricanAmerican",Hispanic,Asian,"NativeAmerican",Other,"NotSpecified","TotalFemale","TotalMale"
BACKHOE/FRONT-END LOADER,Journey,43.50,43.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,43.50
"",Apprentice,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",A/J Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",Subtotal,43.50,43.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,43.50
DRIVER / GROUNDMAN CDL,Journey,8.50,8.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.50
"",Apprentice,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",A/J Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",Subtotal,8.50,8.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.50
LABORER,Journey,55.50,55.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.50
"",Apprentice,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",A/J Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",Subtotal,55.50,55.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.50
Total for Contractor,Journey,107.50,107.50,0.00,0.00,0.00,0.00,0.00,0.00,,
"",,,,,,,,,,0.00,107.50
"",Apprentice,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",A/J Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",Subtotal,107.50,107.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,107.50
"Donnegan Systems, Inc",,,,,,,,,,,
CARPENTER,Journey,2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00
Apprentice,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
A/J Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Subtotal,2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,
"Project Name:CME0902 DC1 C Chief Medical Examiner Office West Central CombinedProject Code:CME0902 DC1 CM",,,,,,,,,,
Construction Trade,Hours Worked,,,,,,,,,
"CraftLevel","TotalEmployee",Caucasian,"AfricanAmerican",Hispanic,Asian,"NativeAmerican",Other,"NotSpecified","TotalFemale","TotalMale"
Total for Contractor,Journey,2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00
"",Apprentice,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",A/J Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",Subtotal,2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00
"Eastfield Glass Co,. Inc.",,,,,,,,,,,
"GLAZIER (GLASS PLANK/AIRBARRIER/INTERIOR SYSTEMS)",Journey,28.00,14.00,0.00,14.00,0.00,0.00,0.00,0.00,0.00,28.00
"",Apprentice,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",A/J Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",Subtotal,28.00,14.00,0.00,14.00,0.00,0.00,0.00,0.00,0.00,28.00
"JourneyApprenticeTotal for ContractorA/J RatioNew HireSubtotal",28.00,"14.000.0014.000.000.000.00","0.000.0028.00",,,,,,,,
"",,,,,,,,,,0.00,28.00
"",Apprentice,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",A/J Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",Subtotal,28.00,14.00,0.00,14.00,0.00,0.00,0.00,0.00,0.00,28.00
"General Mechanical Contractors, Inc.",,,,,,,,,,,
PIPEFITTER & STEAMFITTER,Journey,13.50,13.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.50
"",Apprentice,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",A/J Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",Subtotal,13.50,13.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.50
SHEETMETAL WORKER,Journey,21.00,21.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.00
Apprentice,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
A/J Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Subtotal,21.00,21.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.00,
"JourneyApprenticeTotal for ContractorA/J RatioNew HireSubtotal"
Apprentice
A/J Ratio
New Hire
Subtotal
"Project Name:CME0902 DC1 C Chief Medical Examiner Office West Central CombinedProject Code:CME0902 DC1 CM",,,,,,,,,,
Construction Trade,Hours Worked,,,,,,,,,
"CraftLevel","TotalEmployee",Caucasian,"AfricanAmerican",Hispanic,Asian,"NativeAmerican",Other,"NotSpecified","TotalFemale","TotalMale"
Total for Contractor,Journey,34.50,34.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.50
"",Apprentice,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",A/J Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",Subtotal,34.50,34.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.50
Harris Environmental Systems,,,,,,,,,,,
CARPENTER,Journey,598.00,598.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,598.00
"",Apprentice,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
"",A/J Ratio,0.17,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17
"",New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",Subtotal,698.00,698.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,698.00
PIPEFITTER,Journey,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",Apprentice,106.00,106.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,106.00
"",A/J Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
